Wavelength,Power,Wavelength,Power
678.7091779,1.030063158,678.7091779,1.030063158
683.1928251,1.161183007,683.1928251,1.161183007
685.5241778,1.288729412,685.5241778,1.288729412
688.4625093,1.509018685,688.4625093,1.509018685
687.6940585,1.393482353,687.6940585,1.393482353
692.9388831,1.615798647,692.9388831,1.615798647
695.2706992,1.757,695.2706992,1.757
697.6076354,1.877029412,697.6076354,1.877029412
700.7233408,2.001485882,700.7233408,2.001485882
703.7074213,2.139119608,703.7074213,2.139119608
706.1063998,2.249758289,706.1063998,2.249758289
708.8216366,2.35451123,708.8216366,2.35451123
711.1422575,2.454105882,711.1422575,2.454105882
713.4615731,2.547748663,713.4615731,2.547748663
716.4248278,2.650226667,716.4248278,2.650226667
719.0860359,2.781424183,719.0860359,2.781424183
723.5711752,2.845897754,723.5711752,2.845897754
727.6099822,2.984175163,727.6099822,2.984175163
732.0099067,3.079786471,732.0099067,3.079786471
736.2829474,3.173918627,736.2829474,3.173918627
739.1897681,3.270887843,739.1897681,3.270887843
743.0017389,3.340141176,743.0017389,3.340141176
745.9814164,3.423070588,745.9814164,3.423070588
752.1561352,3.532188235,752.1561352,3.532188235
760.3404905,3.68689281,760.3404905,3.68689281
765.4084473,3.712331551,765.4084473,3.712331551
770.4301215,3.757565775,770.4301215,3.757565775
775.6446659,3.816621569,775.6446659,3.816621569
780.4728172,3.845058289,780.4728172,3.845058289
785.1770348,3.881028959,785.1770348,3.881028959
790.5134246,3.923027807,790.5134246,3.923027807
795.5269193,3.930963636,795.5269193,3.930963636
800.5322345,3.90160107,800.5322345,3.90160107
805.1076869,3.859813971,805.1076869,3.859813971
809.8234194,3.773040642,809.8234194,3.773040642
813.7280408,3.694227941,813.7280408,3.694227941
816.5217784,3.618475113,816.5217784,3.618475113
820.3355715,3.555849536,820.3355715,3.555849536
823.8692951,3.529957386,823.8692951,3.529957386
826.4623175,3.442566275,826.4623175,3.442566275
830.3163602,3.36104582,830.3163602,3.36104582
834.5982266,3.292675,834.5982266,3.292675
838.0243652,3.204016912,838.0243652,3.204016912
842.3950163,3.162019608,842.3950163,3.162019608
847.2837513,3.095717647,847.2837513,3.095717647
852.0332405,3.018495928,852.0332405,3.018495928
857.2369447,2.934895023,857.2369447,2.934895023
859.992288,2.873845098,859.992288,2.873845098
864.9930059,2.823518717,864.9930059,2.823518717
869.9868351,2.741779679,869.9868351,2.741779679
874.9829266,2.670357219,874.9829266,2.670357219
878.8956273,2.579304025,878.8956273,2.579304025
882.8341576,2.559170588,882.8341576,2.559170588
885.9691158,2.48946,885.9691158,2.48946
890.6842585,2.418097059,890.6842585,2.418097059
895.8682531,2.337845989,895.8682531,2.337845989
898.9859784,2.255896886,898.9859784,2.255896886
902.8118486,2.243041176,902.8118486,2.243041176
905.9483656,2.180438824,905.9483656,2.180438824
910.8559187,2.12080107,910.8559187,2.12080107
915.8522713,2.050568984,915.8522713,2.050568984
918.9711739,1.973988235,918.9711739,1.973988235
922.939419,1.957402353,922.939419,1.957402353
925.4324701,1.898915294,925.4324701,1.898915294
930.385106,1.837095187,930.385106,1.837095187
935.3802404,1.761308021,935.3802404,1.761308021
940.5783345,1.676097059,940.5783345,1.676097059
945.1474445,1.631358824,945.1474445,1.631358824
949.9150765,1.556960428,949.9150765,1.556960428
954.9132564,1.495060963,954.9132564,1.495060963
958.8292408,1.418981424,958.8292408,1.418981424
963.1217054,1.398938235,963.1217054,1.398938235
966.2066718,1.349835294,966.2066718,1.349835294
970.8195464,1.311743316,970.8195464,1.311743316
975.8198147,1.259366845,975.8198147,1.259366845
980.819822,1.2058,980.819822,1.2058
984.9052076,1.136758289,984.9052076,1.136758289
989.9053019,1.083588235,989.9053019,1.083588235
994.9048741,1.028037433,994.9048741,1.028037433
1000.00976,0.95805098,1000.00976,0.95805098
1004.47855,0.924549265,1004.47855,0.924549265
1009.906027,0.872495187,1009.906027,0.872495187
1014.906208,0.819721925,1014.906208,0.819721925
1018.824954,0.756235294,1018.824954,0.756235294
1023.190491,0.737564052,1023.190491,0.737564052
1028.546175,0.689971123,1028.546175,0.689971123
1033.547662,0.643149733,1033.547662,0.643149733
1038.653406,0.57707451,1038.653406,0.57707451
1043.150998,0.560337024,1043.150998,0.560337024
1048.558126,0.530064171,1048.558126,0.530064171
1053.56318,0.49951123,1053.56318,0.49951123
1058.769114,0.450051176,1058.769114,0.450051176
1063.148704,0.44139451,1063.148704,0.44139451
1068.579909,0.414994652,1068.579909,0.414994652
1073.585746,0.388012834,1073.585746,0.388012834
1077.950513,0.346389412,1077.950513,0.346389412
