Wavelength,Alexa Fluor 350 (EX),Wavelength,Alexa Fluor 350 (EM),Wavelength,Alexa Fluor 350-2P (2P)
250,0.36529,250,,250,
251,0.3348,251,,251,
252,0.32888,252,,252,
253,0.3275,253,,253,
254,0.31927,254,,254,
255,0.31521,255,,255,
256,0.30091,256,,256,
257,0.29748,257,,257,
258,0.29518,258,,258,
259,0.29373,259,,259,
260,0.30386,260,,260,
261,0.30419,261,,261,
262,0.31204,262,,262,
263,0.32327,263,,263,
264,0.33207,264,,264,
265,0.35119,265,,265,
266,0.35825,266,,266,
267,0.37868,267,,267,
268,0.39837,268,,268,
269,0.4111,269,,269,
270,0.42592,270,,270,
271,0.4417,271,,271,
272,0.4572,272,,272,
273,0.47161,273,,273,
274,0.48211,274,,274,
275,0.49925,275,,275,
276,0.50583,276,,276,
277,0.51045,277,,277,
278,0.52016,278,,278,
279,0.52624,279,,279,
280,0.52692,280,,280,
281,0.52714,281,,281,
282,0.53183,282,,282,
283,0.53174,283,,283,
284,0.52984,284,,284,
285,0.52643,285,,285,
286,0.51144,286,,286,
287,0.50226,287,,287,
288,0.4915,288,,288,
289,0.47681,289,,289,
290,0.46987,290,,290,
291,0.46762,291,,291,
292,0.46641,292,,292,
293,0.46178,293,,293,
294,0.4555,294,,294,
295,0.44703,295,,295,
296,0.43819,296,,296,
297,0.4249,297,,297,
298,0.41994,298,,298,
299,0.41278,299,,299,
300,0.41538,300,,300,
301,0.40961,301,,301,
302,0.41071,302,,302,
303,0.4127,303,,303,
304,0.40988,304,,304,
305,0.41574,305,,305,
306,0.42009,306,,306,
307,0.42044,307,,307,
308,0.42618,308,,308,
309,0.43344,309,,309,
310,0.43697,310,,310,
311,0.4431,311,,311,
312,0.44775,312,,312,
313,0.45536,313,,313,
314,0.46567,314,,314,
315,0.46702,315,,315,
316,0.47623,316,,316,
317,0.48739,317,,317,
318,0.49363,318,,318,
319,0.50312,319,,319,
320,0.51672,320,,320,
321,0.53099,321,,321,
322,0.55308,322,,322,
323,0.57359,323,,323,
324,0.59131,324,,324,
325,0.62103,325,,325,
326,0.64283,326,,326,
327,0.67378,327,,327,
328,0.70887,328,,328,
329,0.73801,329,,329,
330,0.77248,330,,330,
331,0.80201,331,,331,
332,0.83094,332,,332,
333,0.86341,333,,333,
334,0.87791,334,,334,
335,0.90709,335,,335,
336,0.92743,336,,336,
337,0.94831,337,,337,
338,0.96059,338,,338,
339,0.97855,339,,339,
340,0.98522,340,,340,
341,0.98991,341,,341,
342,0.99519,342,,342,
343,1,343,,343,
344,0.9962,344,,344,
345,0.99107,345,,345,
346,0.98279,346,,346,
347,0.97917,347,,347,
348,0.96976,348,,348,
349,0.95539,349,,349,
350,0.94854,350,,350,
351,0.93113,351,,351,
352,0.91599,352,,352,
353,0.9037,353,,353,
354,0.88819,354,,354,
355,0.88041,355,,355,
356,0.87104,356,,356,
357,0.85752,357,,357,
358,0.84543,358,,358,
359,0.83408,359,,359,
360,0.81954,360,,360,
361,0.8035,361,,361,
362,0.78909,362,,362,
363,0.77609,363,,363,
364,0.74889,364,,364,
365,0.73075,365,,365,
366,0.70595,366,,366,
367,0.6781,367,,367,
368,0.65221,368,,368,
369,0.62384,369,,369,
370,0.59158,370,,370,
371,0.55674,371,,371,
372,0.51841,372,,372,
373,0.48403,373,,373,
374,0.44878,374,,374,
375,0.41735,375,0.00376,375,
376,0.38688,376,0.0045,376,
377,0.3595,377,0.00489,377,
378,0.32889,378,0.00557,378,
