Wavelength,Alexa Fluor 488 Ab (EX),Wavelength,Alexa Fluor 488 Ab (EM)
250,1.00937,250,
251,0.94073,251,
252,0.88227,252,
253,0.82849,253,
254,0.78231,254,
255,0.74416,255,
256,0.71328,256,
257,0.69011,257,
258,0.66983,258,
259,0.65119,259,
260,0.63409,260,
261,0.61995,261,
262,0.60545,262,
263,0.59431,263,
264,0.58309,264,
265,0.57285,265,
266,0.56714,266,
267,0.56576,267,
268,0.56765,268,
269,0.57436,269,
270,0.58354,270,
271,0.59232,271,
272,0.60305,272,
273,0.61468,273,
274,0.62285,274,
275,0.62931,275,
276,0.63861,276,
277,0.64454,277,
278,0.65147,278,
279,0.65643,279,
280,0.65867,280,
281,0.65885,281,
282,0.65734,282,
283,0.65298,283,
284,0.64808,284,
285,0.64196,285,
286,0.63799,286,
287,0.63608,287,
288,0.63202,288,
289,0.62098,289,
290,0.59805,290,
291,0.56647,291,
292,0.53264,292,
293,0.50892,293,
294,0.49567,294,
295,0.4863,295,
296,0.47541,296,
297,0.45543,297,
298,0.42638,298,
299,0.39654,299,
300,0.37199,300,
301,0.3514,301,
302,0.33644,302,
303,0.32296,303,
304,0.3089,304,
305,0.2993,305,
306,0.29113,306,
307,0.28168,307,
308,0.27839,308,
309,0.27497,309,
310,0.27286,310,
311,0.27258,311,
312,0.27428,312,
313,0.27369,313,
314,0.27428,314,
315,0.2732,315,
316,0.26973,316,
317,0.2668,317,
318,0.25924,318,
319,0.2519,319,
320,0.243,320,
321,0.23278,321,
322,0.21985,322,
323,0.20977,323,
324,0.19916,324,
325,0.18641,325,
326,0.17574,326,
327,0.16767,327,
328,0.15824,328,
329,0.14926,329,
330,0.14393,330,
331,0.13934,331,
332,0.13631,332,
333,0.13404,333,
334,0.13359,334,
335,0.13416,335,
336,0.1356,336,
337,0.13647,337,
338,0.13942,338,
339,0.13932,339,
340,0.13985,340,
341,0.14066,341,
342,0.13989,342,
343,0.1368,343,
344,0.13479,344,
345,0.13068,345,
346,0.12658,346,
347,0.12204,347,
348,0.11763,348,
349,0.11239,349,
350,0.10854,350,
351,0.10249,351,
352,0.0981,352,
353,0.09344,353,
354,0.08842,354,
355,0.0835,355,
356,0.07983,356,
357,0.07529,357,
358,0.07192,358,
359,0.06883,359,
360,0.06582,360,
361,0.06334,361,
362,0.06113,362,
363,0.05909,363,
364,0.0573,364,
365,0.05517,365,
366,0.05338,366,
367,0.05169,367,
368,0.05074,368,
369,0.04936,369,
370,0.04807,370,
371,0.04761,371,
372,0.046,372,
373,0.04436,373,
374,0.04395,374,
375,0.04287,375,
376,0.04196,376,
377,0.04068,377,
378,0.03962,378,
379,0.03879,379,
380,0.0385,380,
381,0.03683,381,
382,0.03649,382,
383,0.03608,383,
384,0.03427,384,
385,0.03436,385,
386,0.03326,386,
387,0.03297,387,
388,0.03265,388,
389,0.03119,389,
390,0.03084,390,
391,0.03047,391,
392,0.02942,392,
393,0.02889,393,
394,0.02826,394,
395,0.02811,395,
396,0.02742,396,
397,0.02739,397,
398,0.02671,398,
399,0.02647,399,
400,0.02598,400,
401,0.02584,401,
402,0.0257,402,
403,0.02572,403,
404,0.02543,404,
405,0.02541,405,
406,0.02519,406,
