Wavelength,Alexa Fluor 514 (EX),Wavelength,Alexa Fluor 514 (EM)
300,0.17829,300,
301,0.16854,301,
302,0.16054,302,
303,0.15474,303,
304,0.14999,304,
305,0.14687,305,
306,0.14576,306,
307,0.14557,307,
308,0.14551,308,
309,0.14549,309,
310,0.14771,310,
311,0.14818,311,
312,0.14921,312,
313,0.14948,313,
314,0.15129,314,
315,0.15229,315,
316,0.15194,316,
317,0.15288,317,
318,0.15362,318,
319,0.15434,319,
320,0.15454,320,
321,0.15487,321,
322,0.15615,322,
323,0.15323,323,
324,0.15228,324,
325,0.15112,325,
326,0.14728,326,
327,0.14182,327,
328,0.13898,328,
329,0.13433,329,
330,0.12891,330,
331,0.12515,331,
332,0.11983,332,
333,0.11493,333,
334,0.11091,334,
335,0.10737,335,
336,0.10366,336,
337,0.10079,337,
338,0.09915,338,
339,0.09873,339,
340,0.09805,340,
341,0.09806,341,
342,0.09837,342,
343,0.10019,343,
344,0.09962,344,
345,0.09924,345,
346,0.09915,346,
347,0.09763,347,
348,0.09574,348,
349,0.09369,349,
350,0.09066,350,
351,0.08715,351,
352,0.08342,352,
353,0.07925,353,
354,0.07506,354,
355,0.07112,355,
356,0.06698,356,
357,0.06312,357,
358,0.05928,358,
359,0.05536,359,
360,0.05239,360,
361,0.04943,361,
362,0.04639,362,
363,0.04419,363,
364,0.04207,364,
365,0.03996,365,
366,0.0381,366,
367,0.03658,367,
368,0.03539,368,
369,0.03431,369,
370,0.03312,370,
371,0.0319,371,
372,0.03196,372,
373,0.03141,373,
374,0.03015,374,
375,0.02955,375,
376,0.02938,376,
377,0.02841,377,
378,0.02773,378,
379,0.0282,379,
380,0.02698,380,
381,0.02618,381,
382,0.02578,382,
383,0.02525,383,
384,0.02455,384,
385,0.02453,385,
386,0.02415,386,
387,0.02381,387,
388,0.02325,388,
389,0.02271,389,
390,0.02209,390,
391,0.02167,391,
392,0.02126,392,
393,0.02071,393,
394,0.02027,394,
395,0.01985,395,
396,0.01922,396,
397,0.0186,397,
398,0.01819,398,
399,0.01795,399,
400,0.01728,400,
401,0.01683,401,
402,0.01647,402,
403,0.01606,403,
404,0.01549,404,
405,0.01532,405,
406,0.01498,406,
407,0.01476,407,
408,0.0146,408,
409,0.01453,409,
410,0.01459,410,
411,0.01449,411,
412,0.01463,412,
413,0.01481,413,
414,0.01489,414,
415,0.01505,415,
416,0.01564,416,
417,0.01585,417,
418,0.01639,418,
419,0.01685,419,
420,0.0174,420,
421,0.01784,421,
422,0.01854,422,
423,0.0191,423,
424,0.02013,424,
425,0.02096,425,
426,0.02179,426,
427,0.02276,427,
428,0.02381,428,
429,0.02476,429,
430,0.02618,430,
431,0.02724,431,
432,0.02859,432,
433,0.03019,433,
434,0.0317,434,
435,0.03365,435,
436,0.03553,436,
437,0.0374,437,
438,0.03954,438,
439,0.04202,439,
440,0.04458,440,
441,0.04739,441,
442,0.05015,442,
443,0.05317,443,
444,0.05651,444,
445,0.05985,445,
446,0.06334,446,
447,0.06683,447,
448,0.07065,448,
449,0.07415,449,
450,0.07773,450,
451,0.0817,451,
452,0.08561,452,
453,0.08942,453,
454,0.09336,454,
455,0.09753,455,
456,0.10171,456,
457,0.10598,457,
458,0.11077,458,
459,0.11585,459,
460,0.12105,460,
461,0.12679,461,
462,0.13309,462,
463,0.13972,463,
464,0.14718,464,
465,0.15483,465,
466,0.16353,466,
467,0.17282,467,
468,0.1827,468,
469,0.19331,469,
