wavelength,Alexa Fluor 555 ex,wavelength,Alexa Fluor 555 em
300,0.111,300,
301,0.0973,301,
302,0.0887,302,
303,0.0825,303,
304,0.0808,304,
305,0.0678,305,
306,0.0571,306,
307,0.0573,307,
308,0.0533,308,
309,0.0431,309,
310,0.0452,310,
311,0.0439,311,
312,0.0396,312,
313,0.0385,313,
314,0.038,314,
315,0.0365,315,
316,0.0418,316,
317,0.0381,317,
318,0.0337,318,
319,0.0322,319,
320,0.0293,320,
321,0.024,321,
322,0.027,322,
323,0.0234,323,
324,0.0219,324,
325,0.0257,325,
326,0.0294,326,
327,0.0225,327,
328,0.0314,328,
329,0.032,329,
330,0.0264,330,
331,0.0291,331,
332,0.0284,332,
333,0.0256,333,
334,0.0226,334,
335,0.0283,335,
336,0.0207,336,
337,0.019,337,
338,0.0174,338,
339,0.0159,339,
340,0.0154,340,
341,0.014,341,
342,0.0124,342,
343,0.0151,343,
344,0.0129,344,
345,0.0118,345,
346,0.0125,346,
347,0.0149,347,
348,0.011,348,
349,0.0125,349,
350,0.0143,350,
351,0.014,351,
352,0.0116,352,
353,0.013,353,
354,0.0114,354,
355,0.0126,355,
356,0.01,356,
357,0.0108,357,
358,0.0073,358,
359,0.0111,359,
360,0.0059,360,
361,0.0077,361,
362,0.0085,362,
363,0.0072,363,
364,0.0046,364,
365,0.0069,365,
366,0.0052,366,
367,0.0052,367,
368,0.0035,368,
369,0.0028,369,
370,0.0005,370,
371,0.0025,371,
372,0.0017,372,
373,0.0032,373,
374,0.0018,374,
375,0.0001,375,
376,0.0047,376,
377,0.0045,377,
378,0.0001,378,
379,0.0069,379,
380,0.0055,380,
381,0.0053,381,
382,0.0056,382,
383,0.0176,383,
384,0.0099,384,
385,0.0046,385,
386,0.0046,386,
387,0.0049,387,
388,0.0042,388,
389,0.0059,389,
390,0.0049,390,
391,0.0054,391,
392,0.0045,392,
393,0.0049,393,
394,0.0025,394,
395,0.0054,395,
396,0.0042,396,
397,0.0044,397,
398,0.0044,398,
399,0.0054,399,
400,0.0027,400,
401,0.0046,401,
402,0.0029,402,
403,0.0044,403,
404,0.0035,404,
405,0.0038,405,
406,0.0022,406,
407,0.0035,407,
408,0.0032,408,
409,0.0045,409,
410,0.0036,410,
411,0.0051,411,
412,0.0042,412,
413,0.005,413,
414,0.0052,414,
415,0.0044,415,
416,0.0045,416,
417,0.0066,417,
418,0.0061,418,
419,0.0059,419,
420,0.0059,420,
421,0.0055,421,
422,0.0068,422,
423,0.0069,423,
424,0.0059,424,
425,0.0066,425,
426,0.0092,426,
427,0.0095,427,
428,0.0076,428,
429,0.0076,429,
430,0.0083,430,
431,0.0107,431,
