Wavelength,Alexa Fluor 700 (AB),Wavelength,Alexa Fluor 700 (EM),Wavelength,Alexa Fluor 700 (2P)
400,0.04605,400,,400,
401,0.04526,401,,401,
402,0.04443,402,,402,
403,0.04392,403,,403,
404,0.04292,404,,404,
405,0.04205,405,,405,
406,0.04112,406,,406,
407,0.0403,407,,407,
408,0.0393,408,,408,
409,0.0385,409,,409,
410,0.03767,410,,410,
411,0.03686,411,,411,
412,0.03591,412,,412,
413,0.0351,413,,413,
414,0.03433,414,,414,
415,0.03377,415,,415,
416,0.03295,416,,416,
417,0.03231,417,,417,
418,0.03154,418,,418,
419,0.03101,419,,419,
420,0.02991,420,,420,
421,0.0296,421,,421,
422,0.02874,422,,422,
423,0.02833,423,,423,
424,0.02746,424,,424,
425,0.02673,425,,425,
426,0.02637,426,,426,
427,0.02542,427,,427,
428,0.0247,428,,428,
429,0.02424,429,,429,
430,0.02353,430,,430,
431,0.02298,431,,431,
432,0.02237,432,,432,
433,0.02191,433,,433,
434,0.02139,434,,434,
435,0.02072,435,,435,
436,0.02031,436,,436,
437,0.01965,437,,437,
438,0.01926,438,,438,
439,0.01911,439,,439,
440,0.01851,440,,440,
441,0.0183,441,,441,
442,0.01799,442,,442,
443,0.01749,443,,443,
444,0.01725,444,,444,
445,0.01701,445,,445,
446,0.01681,446,,446,
447,0.01648,447,,447,
448,0.01607,448,,448,
449,0.01602,449,,449,
450,0.01547,450,,450,
451,0.01522,451,,451,
452,0.01484,452,,452,
453,0.01461,453,,453,
454,0.01409,454,,454,
455,0.01422,455,,455,
456,0.01392,456,,456,
457,0.01349,457,,457,
458,0.01315,458,,458,
459,0.01306,459,,459,
460,0.01272,460,,460,
461,0.01237,461,,461,
462,0.01216,462,,462,
463,0.01187,463,,463,
464,0.01141,464,,464,
465,0.01121,465,,465,
466,0.01097,466,,466,
467,0.01073,467,,467,
468,0.01071,468,,468,
469,0.01038,469,,469,
470,0.01037,470,,470,
471,0.01006,471,,471,
472,0.00997,472,,472,
473,0.00979,473,,473,
474,0.00956,474,,474,
475,0.0096,475,,475,
476,0.00931,476,,476,
477,0.00912,477,,477,
478,0.00905,478,,478,
479,0.00894,479,,479,
480,0.00895,480,,480,
481,0.00886,481,,481,
482,0.00882,482,,482,
483,0.00875,483,,483,
484,0.00848,484,,484,
485,0.00854,485,,485,
486,0.00863,486,,486,
487,0.00846,487,,487,
488,0.00822,488,,488,
489,0.00841,489,,489,
490,0.00835,490,,490,
491,0.0084,491,,491,
492,0.00844,492,,492,
493,0.00858,493,,493,
494,0.00851,494,,494,
495,0.00862,495,,495,
496,0.00859,496,,496,
497,0.0088,497,,497,
498,0.00898,498,,498,
499,0.00925,499,,499,
500,0.00923,500,,500,
501,0.00962,501,,501,
502,0.00987,502,,502,
503,0.01012,503,,503,
504,0.0105,504,,504,
505,0.01093,505,,505,
506,0.01123,506,,506,
507,0.01154,507,,507,
508,0.01193,508,,508,
509,0.01222,509,,509,
510,0.01291,510,,510,
511,0.01301,511,,511,
512,0.0137,512,,512,
513,0.01404,513,,513,
514,0.01466,514,,514,
515,0.01497,515,,515,
516,0.01582,516,,516,
517,0.01638,517,,517,
518,0.0168,518,,518,
519,0.01752,519,,519,
520,0.01825,520,,520,
521,0.01895,521,,521,
522,0.0196,522,,522,
523,0.02051,523,,523,
524,0.02111,524,,524,
525,0.02183,525,,525,
526,0.02263,526,,526,
527,0.02359,527,,527,
528,0.02415,528,,528,
529,0.02513,529,,529,
530,0.02612,530,,530,
531,0.02694,531,,531,
532,0.02782,532,,532,
533,0.029,533,,533,
534,0.03,534,,534,
535,0.03092,535,,535,
536,0.03209,536,,536,
537,0.03303,537,,537,
538,0.03399,538,,538,
539,0.03526,539,,539,
540,0.03624,540,,540,
541,0.03748,541,,541,
542,0.03861,542,,542,
543,0.03971,543,,543,
544,0.04108,544,,544,
545,0.04211,545,,545,
546,0.04338,546,,546,
547,0.04486,547,,547,
548,0.04636,548,,548,
549,0.04764,549,,549,
550,0.04901,550,,550,
551,0.05061,551,,551,
552,0.05207,552,,552,
553,0.05378,553,,553,
554,0.05554,554,,554,
555,0.05696,555,,555,
556,0.05892,556,,556,
557,0.06068,557,,557,
558,0.06238,558,,558,
559,0.06422,559,,559,
560,0.06651,560,,560,
561,0.06834,561,,561,
562,0.07059,562,,562,
563,0.07241,563,,563,
564,0.07466,564,,564,
565,0.0769,565,,565,
566,0.07924,566,,566,
567,0.08146,567,,567,
568,0.08396,568,,568,
569,0.08642,569,,569,
570,0.08886,570,,570,
571,0.09131,571,,571,
572,0.09396,572,,572,
573,0.09672,573,,573,
574,0.09931,574,,574,
575,0.10211,575,,575,
576,0.10477,576,,576,
577,0.10772,577,,577,
578,0.11038,578,,578,
579,0.11309,579,,579,
580,0.11623,580,,580,
581,0.11897,581,,581,
582,0.12206,582,,582,
583,0.12519,583,,583,
584,0.128,584,,584,
585,0.13117,585,,585,
586,0.13419,586,,586,
587,0.13731,587,,587,
588,0.14034,588,,588,
