Wavelength,AmCyan EX,Wavelength,AmCyan EM
300.8299286,11.05713954,312.0853081,0.952380952
303.2306642,9.245962637,350,0.952380952
305.3933166,8.566514903,369.4312796,1.26984127
314.0400986,3.48778877,397.3933649,1.26984127
317.0716398,2.589938797,418.2464455,0.952380952
320.1031809,2.229120583,439.0995261,1.26984127
322.0323434,2.128427128,449.0521327,2.53968254
332.0915479,0.393143255,454.2654028,4.761904762
350.4185919,0.576069698,458.056872,8.571428571
353.450133,1.045972488,461.3454367,13.3085473
356.4330397,1.417156204,462.735937,15.78917251
358.8242286,2.74377602,463.8028223,17.96810584
369.4346224,5.882055365,464.8363022,20.04277172
373.8441367,7.406442391,465.754951,22.21341494
375.4977046,7.666567149,466.6368539,24.17022441
383.0871572,15.00105259,467.8469649,26.52980771
385.5293497,16.49682374,469.2305057,28.82431319
387.2104771,18.41978902,470.0266681,31.01905757
403.6542909,36.37259292,470.853452,33.14201125
405.2619263,38.77382104,471.3270142,43.17460317
406.9154942,40.19894421,471.3270142,38.0952381
414.6688902,47.0981241,471.4046413,34.98805792
416.5613068,49.59490222,473.0582092,40.24929094
417.8014827,51.18711748,473.7471958,45.30284371
422.1312196,59.39265614,474.1605877,48.0949893
424.0023622,59.6943159,474.4361824,50.49484998
424.6301056,62.29416497,474.8495744,52.84855949
429.2731098,71.60323991,475.4007636,55.10996666
430.0654444,74.11106135,475.9519529,58.01749017
430.7544311,76.10874757,476.5031422,62.24032194
434.1132408,84.45633988,476.5031422,60.18659501
435.43954,86.98196248,476.7787369,64.00175814
436.5419186,88.67340275,477.0937022,66.9035677
445.22315,94.40558745,477.8581492,70.14755519
448.2546911,95.91598927,478.5976615,72.83201473
450.1838536,97.07676104,479.0661724,75.27802657
460.1511933,99.42277869,479.7758286,77.40098025
462.3586523,97.85608231,480.1426127,80.10000907
463.6420588,95.06149342,481.0928531,83.26217843
466.8573296,86.04663217,481.8221189,86.76351363
467.8402839,83.15756912,481.8772378,80.30850376
468.0975055,80.98099219,482.7040218,90.51944942
469.9715491,73.44121013,483.4884065,94.02605058
470.7156547,71.40132856,484.081995,96.1976912
470.8706767,68.89762776,485.1357392,99.32821404
472.5070199,59.56611822,488.2159147,100.18707
473.8525702,56.74969047,491.1613324,98.55332367
473.9100472,54.93375312,492.5466877,96.96687731
474.2983851,59.72508335,494.1411995,94.64613292
474.73015,46.80891012,495.6569701,92.28934667
475.5998042,44.88491925,496.6215514,90.00024879
476.2367341,42.40301206,497.9798392,87.27073693
478.4874237,33.66813455,498.6885112,85.03438324
478.9145954,31.37288318,499.8827547,82.71862025
479.6495144,29.10378415,500.9277177,80.07774792
481.9352577,19.98164167,502.3860727,77.53174189
483.1174137,17.23524241,503.1324749,75.31263995
483.3241097,15.58149226,504.17535,73.12570397
487.9035741,7.758869483,505.027188,70.89366572
489.9062285,5.90666932,505.853972,68.90403764
492.7632263,5.026720406,506.6531965,66.82313281
,,507.7580804,64.50802245
,,508.6099184,62.30954869
,,509.3815834,59.8604601
,,510.899474,57.70721233
,,511.6965785,55.22072946
,,513.2950274,53.7561991
,,513.9810427,49.52380952
,,514.1218113,52.06398965
,,516.8246445,46.98412698
,,519.2203123,43.94138429
,,521.0116775,41.3815329
,,522.6652454,39.23396527
,,523.9054213,36.81102901
,,525.1455972,34.81370907
,,526.5235704,32.68972981
,,527.9265977,30.52398142
,,529.6611094,28.24998756
,,531.484274,25.98858039
,,534.2402205,24.05535929
,,536.4105283,22.00804225
,,537.8596968,20.13353569
,,539.8899107,18.17239365
,,541.6562218,15.83112812
,,543.3118776,13.79698048
,,544.7357832,11.82017216
,,546.6616649,10.09939294
,,549.6735206,8.723848426
,,552.7050617,6.92814848
,,555.1241703,5.441055326
,,557.94136,3.873780347
,,560.6973065,2.425845759
,,571.8009479,2.222222222
,,596.9194313,2.53968254
