nm,EX,nm,EM
255.4825791,0.58691337,260.6267954,-0.002476957
255.8134742,0.6437772,280.0680307,-0.001333144
258.1574846,0.530158475,299.7805511,-0.00251932
259.7881784,0.473730384,320.3144846,-0.001333144
261.4340873,0.421623362,340.436247,-0.001749076
261.8971017,0.379937745,360.5580093,-0.002165008
264.7822901,0.333422696,380.6841654,-0.001333144
266.451469,0.28792437,400.4008624,-0.001333144
273.2244868,0.237189924,420.9306192,-0.001333144
282.3010609,0.217211329,441.050917,-0.002165008
297.332621,0.225904306,461.1770731,-0.001333144
311.8305157,0.186945353,481.3061582,0.000330583
328.2303945,0.168604738,501.4360569,0.002225384
343.7155672,0.150260161,521.5740921,0.006430918
355.7744673,0.197944441,542.4850293,0.013663511
361.4022404,0.237596613,560.1250431,0.044453253
367.025091,0.275850792,573.0594939,0.081021368
371.5576501,0.316189252,581.430001,0.120292269
374.6106812,0.35197788,588.9059534,0.165282234
380.2295043,0.389088246,593.6015818,0.199977885
389.9639945,0.426071522,597.3919157,0.237342432
397.2122968,0.462074388,601.1956745,0.278519688
396.1202663,0.485931052,605.0182285,0.325034737
405.8757891,0.399001289,608.8461524,0.373074869
408.9511953,0.337235405,612.6968989,0.427596606
410.990726,0.293007982,616.5597279,0.485549781
414.4843667,0.246111663,620.4252419,0.544265498
425.3270322,0.208157879,624.2827009,0.60069359
438.3115597,0.258947783,628.4625098,0.662078203
442.083546,0.291101628,626.1939778,0.623951114
445.8792499,0.329991258,632.043264,0.726512983
449.6897213,0.373074869,635.8966955,0.781797262
453.5109327,0.419208646,639.7407294,0.834412645
457.3536241,0.471442758,643.5686534,0.882452777
461.2043706,0.525964495,647.3643572,0.921342407
465.0671996,0.583917671,651.1591661,0.959977857
468.9367411,0.6437772,664.056797,0.986089136
473.0919375,0.698171847,677.6324328,0.944981202
476.6838792,0.765783885,683.8929724,0.904566488
480.5480507,0.824118331,688.7707338,0.861101607
484.3880572,0.875589901,691.8553585,0.82793104
488.2065836,0.920961136,694.4951671,0.798319
499.3043857,0.955466152,698.0353479,0.764640072
499.4269562,0.990276184,701.5585236,0.726131712
510.1041521,0.90532903,705.0803568,0.687242081
513.5696002,0.850426022,708.6062175,0.649496263
515.2441491,0.806452779,712.1280507,0.610606633
516.9482331,0.770867496,715.6471989,0.57095446
518.6469471,0.73375713,719.1757447,0.533971184
520.336711,0.694104957,722.7042904,0.496987908
522.0264749,0.654452785,727.1260482,0.453904297
523.7144489,0.614292251,732.62691,0.405559149
525.4077928,0.575656801,738.2321291,0.3608742
527.0921868,0.534479545,744.0353226,0.320459486
528.7801607,0.494319012,749.3981751,0.284874203
530.4699246,0.454666839,755.6699023,0.247636746
532.1722186,0.418573195,762.8572165,0.21065347
533.8691426,0.380954467,770.9691574,0.176491598
535.5732265,0.345369184,780.9120936,0.142787252
537.2862605,0.312325707,793.5976294,0.108663507
539.0028745,0.280298953,810.8579684,0.074921034
542.5050177,0.235817349,830.8879524,0.048440037
545.9932883,0.187395946,850.9488547,0.030739825
549.5016965,0.144693606,866.9467548,0.013691753
553.9503044,0.109235414,885.6388915,0.011352778
561.1335911,0.071108325,905.7499138,0.007886679
573.7921426,0.029321035,925.8628075,0.004952049
592.9278894,0.008649221,945.9801763,0.003288321
606.6359447,0.005148461,966.0978704,0.001717023
,,993.9173856,0.005870841
