wavelength,ATTO 700 ab,wavelength,ATTO 700 em
300,0.0584,300,
301,0.0543,301,
302,0.050652382,302,
303,0.047457144,303,
304,0.044714287,304,
305,0.042757577,305,
306,0.041047619,306,
307,0.039281386,307,
308,0.037597403,308,
309,0.036,309,
310,0.034311688,310,
311,0.032688311,311,
312,0.030909091,312,
313,0.029190476,313,
314,0.027705628,314,
315,0.026298702,315,
316,0.025298702,316,
317,0.024614719,317,
318,0.024160173,318,
319,0.02395671,319,
320,0.023939394,320,
321,0.024047619,321,
322,0.024372294,322,
323,0.024627706,323,
324,0.024861472,324,
325,0.024939394,325,
326,0.025060606,326,
327,0.025138528,327,
328,0.025372295,328,
329,0.025627706,329,
330,0.025861473,330,
331,0.026030304,331,
332,0.026000001,332,
333,0.025878789,333,
334,0.026017317,334,
335,0.026389611,335,
336,0.027017317,336,
337,0.027787879,337,
338,0.028878787,338,
339,0.030047619,339,
340,0.031341991,340,
341,0.032766233,341,
342,0.034324675,342,
343,0.035688311,343,
344,0.036904761,344,
345,0.03777922,345,
346,0.038445887,346,
347,0.038748918,347,
348,0.038952382,348,
349,0.039121213,349,
350,0.039121213,350,
351,0.038861473,351,
352,0.038536797,352,
353,0.038341991,353,
354,0.038277056,354,
355,0.038251082,355,
356,0.038415584,356,
357,0.038878788,357,
358,0.039510823,358,
359,0.040138528,359,
360,0.04074026,360,
361,0.041627705,361,
362,0.042402597,362,
363,0.043090909,363,
364,0.043718615,364,
365,0.04426407,365,
366,0.044748919,366,
367,0.044952383,367,
368,0.045030305,368,
369,0.045181821,369,
370,0.045030305,370,
371,0.044861474,371,
372,0.044627707,372,
373,0.044372295,373,
374,0.044138528,374,
375,0.043969697,375,
376,0.043909091,376,
377,0.043909091,377,
378,0.043969697,378,
379,0.044138528,379,
380,0.044372295,380,
381,0.044627707,381,
382,0.044861474,382,
383,0.045121214,383,
384,0.045212123,384,
385,0.045073595,385,
386,0.044640694,386,
387,0.043935066,387,
388,0.042870131,388,
389,0.041445887,389,
390,0.039748917,390,
391,0.037952381,391,
392,0.036030303,392,
393,0.034090909,393,
394,0.032000001,394,
395,0.029909092,395,
396,0.027878789,396,
397,0.026017316,397,
398,0.024298701,398,
399,0.022987013,399,
400,0.021926407,400,
401,0.021160173,401,
402,0.020645022,402,
403,0.020251082,403,
404,0.020047619,404,
405,0.019969697,405,
406,0.019909091,406,
407,0.020090909,407,
408,0.020030303,408,
409,0.019861472,409,
410,0.019627705,410,
411,0.019372294,411,
412,0.019138527,412,
413,0.018969696,413,
414,0.01890909,414,
415,0.018999999,415,
416,0.018999999,416,
417,0.019090908,417,
418,0.019030302,418,
419,0.018861471,419,
420,0.018718614,420,
421,0.018402596,421,
422,0.017999999,422,
423,0.017597402,423,
424,0.017281386,424,
425,0.017138529,425,
426,0.016969698,426,
427,0.016909092,427,
428,0.017000001,428,
429,0.017000001,429,
430,0.017000001,430,
431,0.017000001,431,
432,0.017000001,432,
433,0.017000001,433,
434,0.017000001,434,
435,0.017000001,435,
436,0.017000001,436,
437,0.017000001,437,
438,0.017000001,438,
439,0.017000001,439,
440,0.017000001,440,
441,0.017000001,441,
442,0.017000001,442,
443,0.017000001,443,
444,0.017000001,444,
445,0.017000001,445,
446,0.017000001,446,
447,0.01709091,447,
448,0.017030304,448,
449,0.016861473,449,
450,0.016627707,450,
451,0.016463205,451,
452,0.016168832,452,
453,0.01583117,453,
454,0.015627706,454,
455,0.015402598,455,
456,0.015,456,
457,0.014688312,457,
458,0.014311688,458,
459,0.014,459,
460,0.013688312,460,
461,0.013311688,461,
462,0.013,462,
463,0.012688312,463,
464,0.012311688,464,
465,0.012,465,
466,0.011688312,466,
467,0.011311688,467,
468,0.011090909,468,
469,0.010627706,469,
470,0.010142857,470,
471,0.009857143,471,
472,0.009372294,472,
473,0.008909091,473,
474,0.008688312,474,
475,0.008311688,475,
476,0.008,476,
477,0.007688312,477,
478,0.007311689,478,
479,0.007,479,
480,0.006597403,480,
481,0.006281385,481,
482,0.006138528,482,
483,0.005969697,483,
484,0.006,484,
485,0.006030303,485,
486,0.005861472,486,
487,0.005627706,487,
488,0.005372294,488,
489,0.005138528,489,
490,0.004969697,490,
491,0.004909091,491,
492,0.005,492,
493,0.005,493,
494,0.005,494,
495,0.005,495,
496,0.005,496,
497,0.005,497,
498,0.005,498,
499,0.005,499,
500,0.005,500,
501,0.005,501,
502,0.005,502,
503,0.005,503,
504,0.005,504,
505,0.005,505,
506,0.005,506,
507,0.005,507,
508,0.005,508,
509,0.005,509,
510,0.005,510,
511,0.005,511,
512,0.005,512,
513,0.005,513,
514,0.004909091,514,
515,0.004969697,515,
516,0.005138528,516,
517,0.005372294,517,
518,0.005536797,518,
519,0.005831169,519,
520,0.006168831,520,
521,0.006372295,521,
522,0.006597403,522,
523,0.007,523,
524,0.007402598,524,
525,0.007627706,525,
526,0.007831169,526,
527,0.008077922,527,
528,0.008432901,528,
529,0.008675325,529,
530,0.009203463,530,
531,0.009705627,531,
532,0.010294372,532,
533,0.010705628,533,
534,0.011294372,534,
535,0.011705628,535,
536,0.012294372,536,
537,0.012705628,537,
538,0.013203463,538,
539,0.013675325,539,
540,0.014432901,540,
541,0.015077923,541,
542,0.01583117,542,
543,0.016536797,543,
544,0.017463204,544,
545,0.018168831,545,
546,0.018831168,546,
547,0.019536796,547,
548,0.020372294,548,
549,0.021138528,549,
550,0.021969697,550,
551,0.022909091,551,
552,0.023909091,552,
553,0.024969697,553,
554,0.026138528,554,
555,0.027281385,555,
556,0.028597402,556,
557,0.029909091,557,
558,0.031372294,558,
559,0.032766233,559,
560,0.034112554,560,
561,0.035766234,561,
562,0.037372295,562,
563,0.038909091,563,
564,0.040597403,564,
565,0.042281386,565,
566,0.044138528,566,
567,0.045969697,567,
568,0.047909091,568,
569,0.049909092,569,
570,0.051969698,570,
571,0.054138529,571,
572,0.056372296,572,
573,0.058536797,573,
574,0.06083117,574,
575,0.063168832,575,
576,0.065372295,576,
577,0.067597403,577,
578,0.07,578,
579,0.072311689,579,
580,0.074688313,580,
581,0.077000001,581,
582,0.07931169,582,
583,0.081688314,583,
584,0.083909093,584,
585,0.086281386,585,
586,0.088735931,586,
587,0.091341991,587,
588,0.094077922,588,
589,0.096831168,589,
590,0.099536796,590,
591,0.102281386,591,
592,0.105017316,592,
593,0.108077922,593,
594,0.111329004,594,
595,0.114878788,595,
596,0.118506494,596,
597,0.122190476,597,
598,0.126108224,598,
599,0.130017317,599,
600,0.134160175,600,
601,0.138554116,601,
602,0.143220781,602,
603,0.148095239,603,
604,0.153220779,604,
605,0.158554111,605,
606,0.16425108,606,
607,0.170047616,607,
608,0.175878785,608,
609,0.181878789,609,
610,0.188047621,610,
611,0.194251085,611,
612,0.200645025,612,
613,0.207251086,613,
614,0.214047622,614,
615,0.220878788,615,
616,0.227878787,616,
617,0.23504762,617,
618,0.242251082,618,
619,0.24955411,619,
620,0.257220778,620,
621,0.265095238,621,
622,0.273311685,622,
623,0.281584412,623,
624,0.290203462,624,
625,0.298796539,625,
626,0.307324676,626,
627,0.31565801,627,
628,0.324043292,628,
629,0.332151514,629,
630,0.340164495,630,
631,0.347822502,631,
632,0.355086573,632,
633,0.36171428,633,
634,0.367865793,634,
635,0.373346316,635,
636,0.378177487,636,
637,0.382402596,637,
638,0.386086576,638,
639,0.389316012,639,
640,0.391913418,640,
641,0.393965367,641,
642,0.395731598,642,0.001
643,0.397073593,643,0.001
644,0.398030304,644,0.001
645,0.399060606,645,0.001
646,0.400138527,646,0.001
647,0.401281383,647,0.000909091
648,0.402506494,648,0.000969697
649,0.403787883,649,0.001138528
650,0.405298707,650,0.001372294
651,0.407034639,651,0.001627706
652,0.409056282,652,0.001770563
653,0.411731601,653,0.002
654,0.415164502,654,0.002229437
655,0.41915151,655,0.002281385
656,0.423952376,656,0.002506494
657,0.429627705,657,0.002969697
658,0.436463207,658,0.003450216
659,0.444168833,659,0.003969697
660,0.452922081,660,0.004597403
661,0.462658012,661,0.005311688
662,0.473445892,662,0.005909091
663,0.48487013,663,0.0065671
664,0.496935066,664,0.007419914
665,0.509822513,665,0.008419914
666,0.523316018,666,0.00947619
667,0.537268386,667,0.010787879
668,0.551645007,668,0.012419914
669,0.56605194,669,0.014017316
670,0.580627703,670,0.015757576
671,0.595181822,671,0.017926407
672,0.609432913,672,0.020298701
673,0.62367102,673,0.022896104
674,0.637610412,674,0.025805195
675,0.651385288,675,0.029177489
676,0.664839825,676,0.033034632
677,0.677952375,677,0.037086579
678,0.690939387,678,0.041683982
679,0.703969692,679,0.04682251
680,0.716926412,680,0.05247619
681,0.730268416,681,0.058839826
682,0.743943738,682,0.065861472
683,0.758056292,683,0.073909091
684,0.772731611,684,0.083017316
685,0.788164504,685,0.093268398
686,0.804333329,686,0.104852814
687,0.821285705,687,0.118025975
688,0.83871428,688,0.132779221
689,0.85675757,689,0.149233764
690,0.875138521,690,0.16755411
691,0.893675329,691,0.188238094
692,0.911943733,692,0.211363633
693,0.929922092,693,0.237164499
694,0.94688313,694,0.265701295
695,0.962233779,695,0.297285713
696,0.975450231,696,0.33143723
697,0.986251095,697,0.367878789
698,0.994242428,698,0.406580084
699,0.998896109,699,0.44722511
700,0.999770568,700,0.489389609
701,0.996640693,701,0.532809518
702,0.989147183,702,0.577268394
703,0.976883112,703,0.622151516
704,0.959917751,704,0.666575771
705,0.938359313,705,0.710367978
706,0.912354982,706,0.753424256
707,0.881956714,707,0.795203484
708,0.847562778,708,0.835034645
709,0.809787881,709,0.87242425
710,0.769151509,710,0.906549796
711,0.726238083,711,0.936372303
712,0.68176623,712,0.960761916
713,0.636337663,713,0.979255412
714,0.590554114,714,0.991900439
715,0.545043293,715,0.998909098
716,0.500437237,716,1.000705624
717,0.457393945,717,0.998216452
718,0.415909092,718,0.992255415
719,0.376757576,719,0.983151507
720,0.339943725,720,0.970770553
721,0.305658011,721,0.955294358
722,0.273961038,722,0.9371948
723,0.245025971,723,0.916359301
724,0.218852809,724,0.893623364
725,0.195268392,725,0.869463198
726,0.174017312,726,0.844909085
727,0.154909087,727,0.820225109
728,0.137952379,728,0.79568399
729,0.122870129,729,0.771311694
730,0.109428571,730,0.747376635
731,0.097571427,731,0.723870135
732,0.087129869,732,0.701004329
733,0.078047619,733,0.679168828
734,0.070090909,734,0.65864501
735,0.062891775,735,0.639424232
736,0.056701299,736,0.621484833
737,0.051194805,737,0.604324661
738,0.046225108,738,0.588060605
739,0.041774891,739,0.572761913
740,0.037805195,740,0.558103917
741,0.034207792,741,0.544225134
742,0.030896104,742,0.530774911
743,0.027896104,743,0.517805208
744,0.025298701,744,0.505298709
745,0.023017316,745,0.493017321
746,0.020878788,746,0.480878789
747,0.018818182,747,0.469000001
748,0.016878788,748,0.457030302
749,0.015017316,749,0.444952375
750,0.013389611,750,0.432567092
751,0.012017316,751,0.420203456
752,0.010787879,752,0.407904759
753,0.009878788,753,0.395623377
754,0.009138528,754,0.383554117
755,0.008281385,755,0.371848494
756,0.007597403,756,0.360329012
757,0.007,757,0.349017322
758,0.006311689,758,0.337666671
759,0.005597403,759,0.326714285
760,0.004969697,760,0.316285711
761,0.004450217,761,0.306515145
762,0.003969697,762,0.297225104
763,0.003506494,763,0.288454542
764,0.003281385,764,0.280311684
765,0.003138528,765,0.27268831
766,0.002969697,766,0.265545451
767,0.002909091,767,0.258683977
768,0.003,768,0.25245454
769,0.003090909,769,0.246943717
770,0.003030303,770,0.241688309
771,0.002861472,771,0.236913418
772,0.002627706,772,0.232683983
773,0.002372294,773,0.229086581
774,0.002229437,774,0.226034633
775,0.002,775,0.223359307
776,0.001770563,776,0.220956708
777,0.001627706,777,0.218740258
778,0.001372294,778,0.216536793
779,0.001047619,779,0.21437229
780,0.000939394,780,0.212047615
781,0.001047619,781,0.209848482
782,0.001372294,782,0.207926406
783,0.001627706,783,0.2062987
784,0.001861472,784,0.204896102
785,0.002030303,785,0.203896101
786,0.002,786,0.203389602
787,0.002060606,787,0.203229429
788,0.002168831,788,0.202891768
789,0.002233766,789,0.202380948
790,0.002255411,790,0.201610388
791,0.002233766,791,0.200584417
792,0.002168831,792,0.199350651
793,0.002060606,793,0.197952381
794,0.001909091,794,0.196428568
795,0.001872727,795,0.194952379
796,0.00189697,796,0.193259737
797,0.001981818,797,0.1914632
798,0.002127273,798,0.189627703
799,,799,0.187861469
800,,800,0.186030301
801,,801,0.184181818
802,,802,0.182121213
803,,803,0.179982688
804,,804,0.177610395
805,,805,0.175073596
806,,806,0.172151518
807,,807,0.168952379
808,,808,0.165627703
809,,809,0.162372289
810,,810,0.159229433
811,,811,0.155999998
812,,812,0.152770565
813,,813,0.149718617
814,,814,0.146402604
815,,815,0.143000006
816,,816,0.139597408
817,,817,0.13619048
818,,818,0.133108228
819,,819,0.130199135
820,,820,0.127311689
821,,821,0.124489177
822,,822,0.121489177
