wavelength,EX,wavelength,EM
200,0,200,0
200.1,0,200.1,0
200.2,0,200.2,0
200.3,0,200.3,0
200.4,0,200.4,0
200.5,0,200.5,0
200.6,0,200.6,0
200.7,0,200.7,0
200.8,0,200.8,0
200.9,0,200.9,0
201,0,201,0
201.1,0,201.1,0
201.2,0,201.2,0
201.3,0,201.3,0
201.4,0,201.4,0
201.5,0,201.5,0
201.6,0,201.6,0
201.7,0,201.7,0
201.8,0,201.8,0
201.9,0,201.9,0
202,0,202,0
202.1,0,202.1,0
202.2,0,202.2,0
202.3,0,202.3,0
202.4,0,202.4,0
202.5,0,202.5,0
202.6,0,202.6,0
202.7,0,202.7,0
202.8,0,202.8,0
202.9,0,202.9,0
203,0,203,0
203.1,0,203.1,0
203.2,0,203.2,0
203.3,0,203.3,0
203.4,0,203.4,0
203.5,0,203.5,0
203.6,0,203.6,0
203.7,0,203.7,0
203.8,0,203.8,0
203.9,0,203.9,0
204,0,204,0
204.1,0,204.1,0
204.2,0,204.2,0
204.3,0,204.3,0
204.4,0,204.4,0
204.5,0,204.5,0
204.6,0,204.6,0
204.7,0,204.7,0
204.8,0,204.8,0
204.9,0,204.9,0
205,0,205,0
205.1,0,205.1,0
205.2,0,205.2,0
205.3,0,205.3,0
205.4,0,205.4,0
205.5,0,205.5,0
205.6,0,205.6,0
205.7,0,205.7,0
205.8,0,205.8,0
205.9,0,205.9,0
206,0,206,0
206.1,0,206.1,0
206.2,0,206.2,0
206.3,0,206.3,0
206.4,0,206.4,0
206.5,0,206.5,0
206.6,0,206.6,0
206.7,0,206.7,0
206.8,0,206.8,0
206.9,0,206.9,0
207,0,207,0
207.1,0,207.1,0
207.2,0,207.2,0
207.3,0,207.3,0
207.4,0,207.4,0
207.5,0,207.5,0
207.6,0,207.6,0
207.7,0,207.7,0
207.8,0,207.8,0
207.9,0,207.9,0
208,0,208,0
208.1,0,208.1,0
208.2,0,208.2,0
208.3,0,208.3,0
208.4,0,208.4,0
208.5,0,208.5,0
208.6,0,208.6,0
208.7,0,208.7,0
208.8,0,208.8,0
208.9,0,208.9,0
209,0,209,0
209.1,0,209.1,0
209.2,0,209.2,0
209.3,0,209.3,0
209.4,0,209.4,0
209.5,0,209.5,0
209.6,0,209.6,0
209.7,0,209.7,0
209.8,0,209.8,0
209.9,0,209.9,0
210,0,210,0
210.1,0,210.1,0
210.2,0,210.2,0
210.3,0,210.3,0
210.4,0,210.4,0
210.5,0,210.5,0
210.6,0,210.6,0
210.7,0,210.7,0
210.8,0,210.8,0
210.9,0,210.9,0
211,0,211,0
211.1,0,211.1,0
211.2,0,211.2,0
211.3,0,211.3,0
211.4,0,211.4,0
211.5,0,211.5,0
211.6,0,211.6,0
211.7,0,211.7,0
211.8,0,211.8,0
211.9,0,211.9,0
212,0,212,0
212.1,0,212.1,0
212.2,0,212.2,0
212.3,0,212.3,0
212.4,0,212.4,0
212.5,0,212.5,0
212.6,0,212.6,0
212.7,0,212.7,0
212.8,0,212.8,0
212.9,0,212.9,0
213,0,213,0
213.1,0,213.1,0
213.2,0,213.2,0
213.3,0,213.3,0
213.4,0,213.4,0
213.5,0,213.5,0
213.6,0,213.6,0
213.7,0,213.7,0
213.8,0,213.8,0
213.9,0,213.9,0
214,0,214,0
214.1,0,214.1,0
214.2,0,214.2,0
214.3,0,214.3,0
214.4,0,214.4,0
214.5,0,214.5,0
214.6,0,214.6,0
214.7,0,214.7,0
214.8,0,214.8,0
214.9,0,214.9,0
215,0,215,0
215.1,0,215.1,0
215.2,0,215.2,0
215.3,0,215.3,0
215.4,0,215.4,0
215.5,0,215.5,0
215.6,0,215.6,0
215.7,0,215.7,0
215.8,0,215.8,0
215.9,0,215.9,0
216,0,216,0
216.1,0,216.1,0
216.2,0,216.2,0
216.3,0,216.3,0
216.4,0,216.4,0
216.5,0,216.5,0
216.6,0,216.6,0
216.7,0,216.7,0
216.8,0,216.8,0
216.9,0,216.9,0
217,0,217,0
217.1,0,217.1,0
217.2,0,217.2,0
217.3,0,217.3,0
217.4,0,217.4,0
217.5,0,217.5,0
217.6,0,217.6,0
217.7,0,217.7,0
217.8,0,217.8,0
217.9,0,217.9,0
218,0,218,0
218.1,0,218.1,0
218.2,0,218.2,0
218.3,0,218.3,0
218.4,0,218.4,0
218.5,0,218.5,0
218.6,0,218.6,0
218.7,0,218.7,0
218.8,0,218.8,0
218.9,0,218.9,0
219,0,219,0
219.1,0,219.1,0
219.2,0,219.2,0
219.3,0,219.3,0
219.4,0,219.4,0
219.5,0,219.5,0
219.6,0,219.6,0
219.7,0,219.7,0
219.8,0,219.8,0
219.9,0,219.9,0
220,0,220,0
220.1,0,220.1,0
220.2,0,220.2,0
220.3,0,220.3,0
220.4,0,220.4,0
220.5,0,220.5,0
220.6,0,220.6,0
220.7,0,220.7,0
220.8,0,220.8,0
220.9,0,220.9,0
221,0,221,0
221.1,0,221.1,0
221.2,0,221.2,0
221.3,0,221.3,0
221.4,0,221.4,0
221.5,0,221.5,0
221.6,0,221.6,0
221.7,0,221.7,0
221.8,0,221.8,0
221.9,0,221.9,0
222,0,222,0
222.1,0,222.1,0
222.2,0,222.2,0
222.3,0,222.3,0
222.4,0,222.4,0
222.5,0,222.5,0
222.6,0,222.6,0
222.7,0,222.7,0
222.8,0,222.8,0
222.9,0,222.9,0
223,0,223,0
223.1,0,223.1,0
223.2,0,223.2,0
223.3,0,223.3,0
223.4,0,223.4,0
223.5,0,223.5,0
223.6,0,223.6,0
223.7,0,223.7,0
223.8,0,223.8,0
