nm,AB,nm,EM
450.7924181,-0.007094328,451.4646058,0.000618954
456.3310569,-0.007094328,456.3310569,-0.007094328
461.5744191,0.00514493,461.5619934,-0.007094328
465.1445585,0.00868284,466.7955618,-0.004501985
469.5553056,0.002994012,472.0325386,0.001447654
475.6497158,0.005988024,477.5874911,-0.003678189
482.7654336,0.01497006,482.4895667,-0.003324806
489.884191,0.026946108,487.7284764,0.004528717
495.8476629,0.039015376,492.9476129,-0.007094328
499.6732248,0.059941107,503.4087094,-0.007859281
506.1673607,0.065868263,508.6401638,-0.007349312
514.3104654,0.086826347,513.8712298,-0.00722182
519.4018055,0.101796407,519.1017004,-0.007680792
523.5207765,0.129449891,524.3332323,-0.007094328
527.632016,0.150724101,529.5641689,-0.007094328
529.6483176,0.194610778,534.7951055,-0.007094328
533.1415373,0.237767322,540.0260421,-0.007094328
536.9737607,0.265254656,545.2558248,-0.00823083
539.3836623,0.296974732,555.717428,-0.008496743
542.4586348,0.328020516,560.9487529,-0.008114266
547.5196105,0.347971639,566.1809838,-0.006839343
552.7454991,0.342999441,571.6130461,-0.003899938
558.2170435,0.319772238,576.6504504,0.000640203
560.7092659,0.318078952,581.541413,0.030082097
565.0566391,0.326932146,585.1237678,0.071674645
567.9814076,0.361358327,587.5252974,0.106300938
570.4502994,0.399138536,589.3348741,0.145896394
571.6673709,0.432142035,591.0697541,0.184914087
573.7014421,0.491814791,592.7670384,0.230699151
573.8707522,0.463415888,594.0439337,0.270583832
575.9452348,0.523859972,594.5526472,0.303260101
576.5520462,0.559481312,595.5369954,0.336029863
578.1986918,0.588844765,597.1232803,0.381775303
578.5168509,0.62118757,598.0480877,0.433965174
580.052175,0.658000962,599.1631042,0.482523792
582.0984906,0.682893828,599.9967224,0.513201619
582.3300908,0.754884462,600.6190781,0.547602033
582.7067258,0.719917582,601.7448087,0.595643583
583.9750215,0.791480814,602.0664116,0.626173934
585.2942881,0.832952227,602.7527558,0.672949431
585.9053709,0.872780812,603.7372549,0.731417385
587.748016,0.907841186,604.1075067,0.697969788
588.7802503,0.940938179,606.926693,0.781530346
590.205988,0.973527631,607.072155,0.824437565
592.3535372,0.994416935,608.6897176,0.878686537
596.7217315,0.982543155,610.5074106,0.929318169
597.8202503,0.945612895,612.5637065,0.968604001
598.9790817,0.916045313,615.4209139,0.990256438
600.1781109,0.879231921,619.2245986,0.976621848
600.8075603,0.84347034,620.8848744,0.946547838
601.3009514,0.77245509,621.97626,0.914419787
601.7187741,0.804202721,623.4524522,0.87808449
603.4968274,0.734004061,624.3509038,0.847537343
603.7417551,0.676646707,625.5086515,0.816902367
605.2038056,0.616766467,626.5725131,0.783867704
607.0899521,0.473934,627.5777396,0.747124432
607.1339554,0.517964072,628.9436801,0.708647266
607.1825891,0.565868263,629.5973595,0.675461028
609.5491615,0.437120608,631.1315547,0.634209994
609.8672558,0.399138536,632.3357942,0.593606743
611.7314812,0.361774195,633.5897055,0.558333882
611.9828853,0.328363328,635.0732322,0.518577543
613.7971025,0.288581491,636.2776567,0.48069109
614.2782898,0.247303744,637.4041835,0.449111256
616.0531634,0.215609166,639.0454599,0.410731833
617.019572,0.183867841,640.5152667,0.375203988
618.4110714,0.149274939,642.3621393,0.338762775
620.0439594,0.118246508,644.4001222,0.298398396
621.8617399,0.087179122,646.6488337,0.260566583
624.3003441,0.056092257,648.8802091,0.230194282
627.5647358,0.031705819,652.0493347,0.197845244
632.7847568,0.020953971,655.9868661,0.175327494
638.0022323,0.007694775,660.9804809,0.157753175
643.223375,-0.00195214,666.1965326,0.143091564
648.792451,-0.01238299,671.4138786,0.129704876
654.6320562,-0.006159385,676.6300597,0.115170757
659.8623025,-0.006839343,681.8446877,0.099106732
665.0916859,-0.008369251,687.0580212,0.081767783
670.3224499,-0.00853924,692.2704488,0.063536389
675.5510135,-0.010876598,697.4848178,0.047217378
680.7829855,-0.00985666,702.7031993,0.034850628
686.0167265,-0.007094328,707.9237489,0.024619374
691.2476631,-0.007094328,713.879253,0.006433133
696.4762699,-0.009389189,718.8448854,0.008587221
706.9445802,-0.003048573,724.5373828,-0.005181944
712.1739441,-0.004597604,729.7690313,-0.004480736
717.4038345,-0.005628167,734.5543198,-0.004312872
722.6349652,-0.005436928,740.2328244,-0.002589601
727.8668078,-0.004544482,745.4625097,-0.003822026
732.8833697,-0.004920585,750.5835747,-0.003951737
738.331192,-0.002071132,756.7300194,-0.002958146
743.5603941,-0.003779529,760.4662433,-0.001243343
749.0413968,-0.007281316,,
754.211762,-0.004489843,,
