nm,EX,nm,EM
602.3093248,0.04754959,719.0347536,-0.001709054
606.8949667,0.05451459,721.9528893,0.029529033
611.4806085,0.061147923,726.5385311,0.046001812
616.0662504,0.068997368,730.4988582,0.071139382
620.6518922,0.076294035,733.6254322,0.098263004
625.237534,0.084475146,737.0021321,0.128387815
629.8231759,0.093430147,739.0448271,0.156115149
634.4088177,0.102937925,741.3897576,0.195504483
638.9944596,0.113993481,740.7123332,0.170708483
643.5801014,0.126375703,744.339159,0.234345842
648.1657433,0.140858482,745.9530667,0.267476185
652.7513851,0.157441816,748.4056001,0.301790525
657.3370269,0.175572927,749.51306,0.340626236
661.9226688,0.195694039,750.8476439,0.396607886
666.5083106,0.217473484,750.1615346,0.364475527
671.0939525,0.24024793,752.8017526,0.457430074
675.6795943,0.263464597,751.2384656,0.429740159
680.2652362,0.284912376,754.6479201,0.497842383
684.850878,0.304701821,756.1367648,0.523786088
689.4365199,0.319516266,757.1372685,0.559134386
694.0221617,0.3291346,758.7769829,0.600103819
698.6078035,0.335767933,759.367558,0.638911277
703.1934454,0.3410746,760.1864226,0.671051358
707.7790872,0.349587378,761.4172009,0.703905662
712.3647291,0.366170712,762.5983511,0.738480378
716.3250561,0.390824602,763.6405424,0.772987532
719.2431918,0.41575488,766.0822478,0.81055668
721.5360128,0.440928381,767.5115388,0.837484856
723.6203954,0.468169271,768.2261842,0.866324063
725.4963398,0.495714189,771.3527582,0.941824297
726.9554077,0.518921643,774.4793322,0.976797574
729.2482286,0.563512386,777.8143445,0.997000735
730.9157347,0.593003081,782.7890711,0.986955984
732.5832408,0.625838082,786.7771899,0.9520599
734.250747,0.652592528,789.0700108,0.920913942
735.2929383,0.68431276,790.7838365,0.893348756
736.7520061,0.720086697,792.9734911,0.864444619
738.4195123,0.757482115,794.9062822,0.835161215
740.0870184,0.794877533,796.5737884,0.808862811
741.7545245,0.830752812,798.2412945,0.781196282
743.4220306,0.865107952,799.2834858,0.757076745
745.0895368,0.898551009,800.9509919,0.726015239
746.7570429,0.928041704,802.6184981,0.693028224
748.8414255,0.95793777,805.1999258,0.602544877
752.3848761,0.989925179,804.2860042,0.659889195
756.9705179,0.992910179,805.5366338,0.633438777
760.5139684,0.963207585,808.6632078,0.564485275
762.5983511,0.932602121,810.1222756,0.535693843
764.2658572,0.901895315,811.6855626,0.497386342
766.4197193,0.866324063,812.6930142,0.464196641
766.9755547,0.832029729,813.8901981,0.400179303
768.6430608,0.799032579,814.2017103,0.432867302
769.8936904,0.762954615,817.5962763,0.356599759
771.14432,0.731741096,818.9064597,0.328629203
772.3949496,0.69404165,820.7063076,0.299210895
773.6455792,0.660801278,822.576462,0.270581611
774.8962087,0.619858869,824.7427311,0.238115787
776.1468383,0.586213127,826.4499398,0.201111262
777.1890297,0.554999608,831.591417,0.152466816
778.231221,0.523786088,834.5095527,0.122237767
779.4818506,0.492572568,837.4276884,0.095309591
780.7324802,0.456089234,840.7627007,0.068960516
781.9831098,0.425281085,844.931466,0.043237923
783.2337394,0.391635343,849.0741765,0.003627116
784.484369,0.363259416,848.6138753,0.031891647
785.9434368,0.3306271,851.6014905,-0.001573931
787.6109429,0.294751821,,
789.2784491,0.261916819,,
790.9459552,0.233946263,,
792.8218996,0.202327373,,
794.9062822,0.173383927,,
797.1991032,0.145778204,,
799.9088006,0.117373322,,
803.2438129,0.090039776,,
807.4125782,0.064022368,,
811.99822,0.043237923,,
816.5838619,0.028976256,,
821.1695037,0.019247366,,
825.7551456,0.01217181,,
830.3407874,0.00819181,,
834.9264292,0.004101255,,
839.5120711,0.003769588,,
844.0977129,0.00122681,,
848.2664782,4.76E-05,,
