wavelength,Cy7 ex,wavelength,Cy7 em
500,0.0225,500,
501,0.0225,501,
502,0.0225,502,
503,0.0225,503,
504,0.0225,504,
505,0.0225,505,
506,0.0225,506,
507,0.0225,507,
508,0.0225,508,
509,0.0225,509,
510,0.0225,510,
511,0.0225,511,
512,0.0225,512,
513,0.0225,513,
514,0.0266,514,
515,0.0266,515,
516,0.0266,516,
517,0.0266,517,
518,0.0266,518,
519,0.0267,519,
520,0.0267,520,
521,0.0267,521,
522,0.0267,522,
523,0.0267,523,
524,0.0267,524,
525,0.0287,525,
526,0.0287,526,
527,0.0287,527,
528,0.0287,528,
529,0.0287,529,
530,0.0288,530,
531,0.0288,531,
532,0.0288,532,
533,0.0288,533,
534,0.0288,534,
535,0.0329,535,
536,0.0329,536,
537,0.0329,537,
538,0.0329,538,
539,0.0329,539,
540,0.0329,540,
541,0.0329,541,
542,0.037,542,
543,0.037,543,
544,0.037,544,
545,0.037,545,
546,0.037,546,
547,0.037,547,
548,0.037,548,
549,0.037,549,
550,0.0391,550,
551,0.0391,551,
552,0.0391,552,
553,0.0391,553,
554,0.0432,554,
555,0.0432,555,
556,0.0432,556,
557,0.0432,557,
558,0.0432,558,
559,0.0432,559,
560,0.0473,560,
561,0.0473,561,
562,0.0473,562,
563,0.0473,563,
564,0.0473,564,
565,0.0494,565,
566,0.0494,566,
567,0.0494,567,
568,0.0494,568,
569,0.0494,569,
570,0.0535,570,
571,0.0535,571,
572,0.0535,572,
573,0.0535,573,
574,0.0535,574,
575,0.0576,575,
576,0.0576,576,
577,0.0576,577,
578,0.0576,578,
579,0.0617,579,
580,0.0617,580,
581,0.0638,581,
582,0.0638,582,
583,0.0638,583,
584,0.0679,584,
585,0.0679,585,
586,0.0679,586,
587,0.072,587,
588,0.072,588,
589,0.074,589,
590,0.074,590,
591,0.074,591,
592,0.0781,592,
593,0.0781,593,
594,0.0781,594,
595,0.0822,595,
596,0.0822,596,
597,0.0843,597,
598,0.0843,598,
599,0.0843,599,
600,0.0884,600,
601,0.0884,601,
602,0.0925,602,
603,0.0925,603,
604,0.0966,604,
605,0.0986,605,
606,0.1027,606,
607,0.1027,607,
608,0.1027,608,
609,0.1068,609,
610,0.1089,610,
611,0.1089,611,
612,0.113,612,
613,0.113,613,
614,0.117,614,
615,0.1191,615,
616,0.1191,616,
617,0.1232,617,
618,0.1273,618,
619,0.1273,619,
620,0.1314,620,
621,0.1314,621,
622,0.1334,622,
623,0.1375,623,
624,0.1375,624,
625,0.1416,625,
626,0.1416,626,
627,0.1437,627,
628,0.1478,628,
629,0.1478,629,
630,0.1519,630,
631,0.1539,631,
632,0.1539,632,
633,0.158,633,
634,0.158,634,
635,0.1621,635,
636,0.1662,636,
637,0.1682,637,
638,0.1723,638,
639,0.1723,639,
640,0.1764,640,
641,0.1785,641,
642,0.1826,642,
643,0.1866,643,
644,0.1887,644,
645,0.1928,645,
646,0.1969,646,
647,0.201,647,
648,0.2071,648,
649,0.2112,649,
650,0.2132,650,
651,0.2173,651,
652,0.2235,652,
653,0.2275,653,
654,0.2316,654,
655,0.2357,655,
656,0.2459,656,
657,0.248,657,
658,0.2582,658,
659,0.2582,659,
660,0.2664,660,
661,0.2705,661,
662,0.2766,662,
663,0.2807,663,
664,0.2868,664,
665,0.293,665,
666,0.297,666,
667,0.3011,667,
668,0.3114,668,
669,0.3154,669,
670,0.3216,670,
671,0.3257,671,
672,0.3318,672,
673,0.3359,673,
674,0.34,674,
675,0.3461,675,
676,0.3502,676,
677,0.3502,677,
678,0.3563,678,
679,0.3604,679,
680,0.3625,680,
681,0.3666,681,
682,0.3706,682,
683,0.3747,683,
684,0.3747,684,
685,0.3768,685,
686,0.3768,686,
687,0.3809,687,
688,0.385,688,
689,0.385,689,
690,0.385,690,
691,0.387,691,
692,0.387,692,
693,0.3871,693,
694,0.3911,694,
695,0.3911,695,
696,0.3912,696,
697,0.3952,697,
698,0.3973,698,
699,0.3973,699,
700,0.4014,700,
701,0.4055,701,
702,0.4096,702,0.0131
703,0.4157,703,0.0131
704,0.4198,704,0.0131
705,0.4259,705,0.0131
706,0.43,706,0.0131
707,0.43,707,0.0131
708,0.4464,708,0.0131
709,0.4545,709,0.0131
710,0.4668,710,0.0151
711,0.4709,711,0.0151
712,0.4811,712,0.0151
713,0.4954,713,0.0151
714,0.5056,714,0.0192
715,0.5138,715,0.0192
716,0.5342,716,0.0192
717,0.5506,717,0.0233
718,0.5649,718,0.0273
719,0.5894,719,0.0273
720,0.5996,720,0.0294
721,0.618,721,0.0294
722,0.6343,722,0.0375
723,0.6527,723,0.0396
724,0.6731,724,0.0437
725,0.6935,725,0.0498
726,0.714,726,0.0539
727,0.7323,727,0.062
728,0.7528,728,0.0641
729,0.7732,729,0.0682
730,0.7936,730,0.0825
731,0.814,731,0.0886
732,0.8324,732,0.0988
733,0.8488,733,0.1029
734,0.8672,734,0.1192
735,0.8835,735,0.1335
736,0.9019,736,0.1478
737,0.9162,737,0.154
738,0.9305,738,0.1764
739,0.9407,739,0.1928
740,0.9509,740,0.2112
741,0.9652,741,0.2275
742,0.9673,742,0.2377
743,0.9754,743,0.248
744,0.9816,744,0.2929
745,0.9877,745,0.3154
746,0.9918,746,0.3399
747,0.9959,747,0.3665
748,0.9959,748,0.3951
749,1,749,0.4196
750,1,750,0.4319
751,1,751,0.4462
752,1,752,0.5055
753,1,753,0.5361
754,0.9959,754,0.5647
755,0.9877,755,0.579
756,0.9857,756,0.5954
757,0.9776,757,0.6281
758,0.9571,758,0.6935
759,0.9428,759,0.7078
760,0.9184,760,0.7528
761,0.9082,761,0.7834
762,0.8877,762,0.8079
763,0.8673,763,0.8222
764,0.8469,764,0.8222
765,0.8367,765,0.8611
766,0.7979,766,0.9019
767,0.7693,767,0.9183
768,0.7428,768,0.9265
769,0.7142,769,0.9367
770,0.6999,770,0.951
771,0.6836,771,0.9612
772,0.6203,772,0.9775
