wavelength,EGFP ex,wavelength,EGFP em,wavelength,EGFP 2p
300,0.0962,300,,300,
301,0.0872,301,,301,
302,0.0801,302,,302,
303,0.0739,303,,303,
304,0.0675,304,,304,
305,0.0612,305,,305,
306,0.0579,306,,306,
307,0.0541,307,,307,
308,0.0528,308,,308,
309,0.049,309,,309,
310,0.0487,310,,310,
311,0.0474,311,,311,
312,0.0459,312,,312,
313,0.0446,313,,313,
314,0.0439,314,,314,
315,0.0446,315,,315,
316,0.0442,316,,316,
317,0.042,317,,317,
318,0.0412,318,,318,
319,0.0399,319,,319,
320,0.0391,320,,320,
321,0.0378,321,,321,
322,0.0353,322,,322,
323,0.0346,323,,323,
324,0.0348,324,,324,
325,0.0346,325,,325,
326,0.0317,326,,326,
327,0.0324,327,,327,
328,0.0321,328,,328,
329,0.0296,329,,329,
330,0.0308,330,,330,
331,0.0305,331,,331,
332,0.0299,332,,332,
333,0.0317,333,,333,
334,0.0312,334,,334,
335,0.0303,335,,335,
336,0.0322,336,,336,
337,0.0324,337,,337,
338,0.0326,338,,338,
339,0.0334,339,,339,
340,0.0348,340,,340,
341,0.0346,341,,341,
342,0.0357,342,,342,
343,0.0364,343,,343,
344,0.0374,344,,344,
345,0.0398,345,,345,
346,0.0412,346,,346,
347,0.0429,347,,347,
348,0.0438,348,,348,
349,0.0466,349,,349,
350,0.049,350,,350,
351,0.0481,351,,351,
352,0.0512,352,,352,
353,0.057,353,,353,
354,0.0539,354,,354,
355,0.0557,355,,355,
356,0.059,356,,356,
357,0.0616,357,,357,
358,0.0646,358,,358,
359,0.0662,359,,359,
360,0.0685,360,,360,
361,0.0723,361,,361,
362,0.0729,362,,362,
363,0.0756,363,,363,
364,0.0798,364,,364,
365,0.0814,365,,365,
366,0.0841,366,,366,
367,0.0875,367,,367,
368,0.0909,368,,368,
369,0.0921,369,,369,
370,0.0955,370,,370,
371,0.0984,371,,371,
372,0.1002,372,,372,
373,0.1011,373,,373,
374,0.1078,374,,374,
375,0.1103,375,,375,
376,0.1123,376,,376,
377,0.116,377,,377,
378,0.1174,378,,378,
379,0.1217,379,,379,
380,0.125,380,,380,
381,0.1269,381,,381,
382,0.1296,382,,382,
383,0.1324,383,,383,
384,0.1349,384,,384,
385,0.1363,385,,385,
386,0.1393,386,,386,
387,0.1429,387,,387,
388,0.1442,388,,388,
389,0.1465,389,,389,
