Wavelength,ABS,Wavelength,Em
310.7334731,0.128591615,528.7851699,0.010812911
321.429063,0.074058873,541.9128543,0.060913928
336.218524,0.047768984,547.1551701,0.125587056
358.1462239,0.064785712,549.3806744,0.181672153
379.8607571,0.031708252,551.6020023,0.23677576
401.7380129,0.03687063,560.6164883,0.300782877
423.5501797,0.026737073,563.1632887,0.541317836
445.3818732,0.021192296,563.2814254,0.646898031
465.3842921,0.05267643,563.5093457,0.700459299
480.4855028,0.099647698,563.6092845,0.490490717
490.6486891,0.153454338,563.9663795,0.434335514
497.835338,0.208137308,564.0701966,0.598805061
502.0171084,0.257036502,564.5546018,0.362458957
505.5209354,0.302255111,564.9669615,0.762853969
510.3836326,0.355535953,568.1426107,0.846846847
517.5471613,0.404785679,572.7046195,0.918918919
525.9013049,0.453684873,577.5673138,0.969177019
531.3678119,0.524352095,583.266245,0.900900901
535.2542407,0.597227667,585.1255511,0.837837838
537.5103233,0.660498667,587.7355717,0.790721252
539.7298612,0.715181637,588.4403645,0.722893338
546.4660394,0.780731094,590.1676662,0.661900795
546.866015,0.846846847,591.8994427,0.601959847
547.0960322,0.900900901,594.5910799,0.534131933
553.7802221,0.982111645,596.323105,0.474249408
559.6128043,0.842342342,598.0881945,0.422137006
559.8619896,0.900900901,601.7933908,0.359041272
563.1632887,0.541317836,605.5105201,0.298749792
563.2814254,0.646898031,612.2131366,0.239685175
563.5093457,0.700459299,620.9279552,0.186579599
563.6092845,0.490490717,632.6127482,0.131055353
564.0701966,0.598805061,645.2996147,0.077564192
564.7876682,0.767410883,665.8828182,0.012078468
570.1552616,0.31981982,687.7126132,0.00608756
570.5386237,0.40990991,709.5589518,0.003984368
573.5569311,0.260191288,731.4109856,0.003219572
573.9358038,0.193590236,753.2605786,0.001881177
576.5533072,0.123904503,775.1142396,0.001498779
581.6519795,0.061439726,792.9958391,0.001498779
596.3397389,0.011249938,,
618.1551601,0.001881177,,
640.0088212,0.001498779,,
661.9091294,0.012078468,,
683.7381108,0.00589636,,
705.5844494,0.003793169,,
727.4372968,0.003219572,,
749.288517,0.002263576,,
771.1405509,0.001498779,,
791.0089948,0.001498779,,
