Wave,AB,Wave,EM
321.0416339,1.03234383,607.7863315,0.001117095
322.2937942,0.987975893,620.307934,0.020476151
323.5459544,0.931868953,627.8208955,0.046439255
326.0502749,0.91226276,631.5773763,0.09294218
326.0502749,0.880958754,634.0816968,0.178073974
327.3024352,0.847025485,636.5860173,0.155859113
328.5545954,0.801353215,637.8381775,0.221055198
331.0589159,0.766095018,641.5946583,0.282297093
332.3110762,0.724335749,642.8468185,0.343580177
333.5632364,0.682576479,644.0989788,0.406167595
334.8153967,0.652556211,645.7685258,0.457443924
337.3197172,0.61208068,646.6032993,0.529212019
337.3197172,0.580776674,647.8554595,0.582190846
338.5718775,0.544234739,649.1076198,0.651299932
341.076198,0.505063541,651.5789474,0.859095106
343.5805185,0.47893568,654.1162608,0.890345379
345.4587588,0.437166113,654.9510343,0.807723855
348.5891595,0.408419287,655.7858078,0.937273929
352.3456402,0.370531828,656.6205813,0.781609723
356.102121,0.343079039,656.6205813,0.739871048
357.771668,0.304791127,662.8813826,0.973243788
361.9455355,0.268201137,667.8900236,0.913162064
368.6237235,0.229830846,669.4736842,0.860993767
374.8845247,0.200597756,670.5263158,0.806151893
388.6582875,0.178197542,674.1508248,0.73175672
402.4320503,0.155797329,676.6551453,0.671716185
414.9536528,0.152330548,676.6551453,0.615195063
422.4666143,0.118511695,678.9473684,0.551627424
431.2317361,0.084107036,681.6637863,0.483809769
445.0054988,0.060750311,684.1681068,0.402899896
460.0314218,0.053546728,685.4202671,0.368966628
475.0573449,0.046343146,687.9245876,0.319360762
490.0832679,0.045661231,692.9332286,0.257974704
505.1091909,0.045848872,701.6983504,0.196526862
520.1351139,0.053862515,709.2113119,0.135534392
535.1610369,0.071006492,722.9850746,0.087917063
548.9347997,0.0973014,740.5153181,0.047194395
560.2042419,0.123202719,756.8421053,0.024030471
568.9693637,0.150014784,765.5585232,-0.000608287
575.230165,0.184259261,784.3409269,-0.002047631
580.238806,0.214176555,,
585.247447,0.253224184,,
591.5082482,0.287903439,,
602.7776905,0.328152428,,
611.5428123,0.357138382,,
618.9473684,0.438579178,,
622.1052632,0.508702678,,
624.0644148,0.589103814,,
627.3684211,0.642388042,,
631.5773763,0.732456941,,
631.5773763,0.683674865,,
635.333857,0.783264167,,
636.5860173,0.860199255,,
636.5860173,0.844547252,,
636.5860173,0.813243245,,
639.7164179,0.903842943,,
640,0.93165397,,
642.8468185,0.954660467,,
648.4210526,0.984147045,,
651.5789474,0.931463527,,
654.1162608,0.890345379,,
654.9510343,0.807723855,,
655.9945012,0.679229833,,
656.6205813,0.612046356,,
656.6205813,0.781609723,,
656.6205813,0.750305717,,
657.8727416,0.718981116,,
659.1249018,0.640700505,,
661.6292223,0.551964631,,
661.6292223,0.525008404,,
662.4639958,0.468473552,,
664.1335428,0.447576754,,
664.9683163,0.387563679,,
666.0117832,0.28515633,,
666.6378633,0.35884088,,
667.8900236,0.322298945,,
669.1421838,0.254453003,,
671.6465043,0.223107808,,
671.6465043,0.178760465,,
674.1508248,0.144284869,,
676.6551453,0.086505179,,
676.6551453,0.113461407,,
684.1681068,0.03768649,,
696.6897093,0.007220003,,
717.9764336,-0.005912577,,
733.0023566,-0.002246713,,
748.0282797,-0.003798184,,
763.0542027,-0.00404532,,
784.3409269,-0.002047631,,
