Wave,PE EX,Wave,PE EM
401.2499818,0.11799499,402.5008596,0.00286533
403.1362114,0.107587469,422.6008596,0.00286533
405.0232216,0.099781827,456.5008596,0.00286533
406.7379365,0.09018952,493.4008596,0.00286533
408.6249511,0.082398674,530.7234373,0.007908197
409.7821598,0.075177591,531.9266469,0.010890905
411.5411227,0.069946163,545.1640332,0.050635494
413.4286633,0.063908546,547.0565169,0.061074973
415.316315,0.0582414,548.9511482,0.078672952
416.6897672,0.056168418,550.588518,0.097529261
424.7589581,0.044520942,551.9012426,0.115681734
426.64831,0.044520942,553.1759187,0.134235216
428.5377289,0.044744645,554.1270165,0.155641326
430.4273716,0.045714025,555.2906929,0.182991519
432.3172156,0.047354515,556.3140734,0.211122956
434.2074175,0.050188087,557.1547109,0.228665897
436.0983129,0.055333259,557.5034292,0.245998451
437.988891,0.059420576,558.4308917,0.276702096
439.8805512,0.067114957,559.2861643,0.308997307
441.7311812,0.070164858,559.9363168,0.340191847
443.6631547,0.080114594,560.5310414,0.370797276
447.1877543,0.091896914,561.1143127,0.402261593
450.6247214,0.097836853,561.6388456,0.433111911
453.3782832,0.115882238,562.2297675,0.464053782
455.9603318,0.134747869,562.7545258,0.495655577
458.542811,0.155048927,563.3226646,0.52728057
460.7826944,0.178425904,563.5173087,0.539948796
463.0224549,0.201392758,563.8048343,0.561498863
465.2626459,0.225795041,564.2189051,0.588479946
467.5024679,0.248966956,564.6716884,0.609177456
470.1704822,0.268119672,565.0034692,0.627304866
472.4962207,0.291414624,565.3526474,0.646170496
474.9072482,0.312740988,565.4435716,0.662985514
476.8044129,0.33878376,565.5611947,0.673375282
478.7019467,0.3660569,565.7981634,0.69989653
479.9129971,0.39517559,566.1775676,0.724093751
481.2958683,0.424499341,566.4121166,0.742549259
482.678678,0.453618031,566.7636325,0.769207215
484.0613031,0.482121538,567.0540871,0.796802593
485.4441128,0.511240228,567.4665105,0.822010473
486.4838346,0.541794346,567.7024437,0.845079858
487.6951926,0.571938342,568.1468421,0.871225161
488.5632167,0.602697522,568.3986183,0.894622643
489.4311177,0.633046579,568.8130962,0.921225916
490.470901,0.663805759,569.2838552,0.939818131
491.5103767,0.693539633,569.7418901,0.963707761
492.7217962,0.72388869,569.8327343,0.980256199
494.1044829,0.752597258,573.7052412,1.006668082
495.3156563,0.78212607,575.3628411,0.978451661
497.2128825,0.808373903,576.6551422,0.947610457
500.1335897,0.811039699,577.3871709,0.918305347
503.0475175,0.791107751,577.7214057,0.939408009
503.9832118,0.761168816,578.2201761,0.884383254
505.6046733,0.726997418,578.2256102,0.902496993
506.7131124,0.700343936,578.7261646,0.853419013
507.9264484,0.67346642,579.3255361,0.821441894
509.6368775,0.649588183,579.5195762,0.791614811
511.0679244,0.616846745,580.0438673,0.760936413
514.3295663,0.61089997,580.7126744,0.727433319
516.7407784,0.632841518,581.2427518,0.694975061
518.6379431,0.65888429,581.7325873,0.664694357
520.7066825,0.684311879,582.4273142,0.633073921
522.432334,0.711174896,582.9157699,0.600920325
524.3297447,0.738037913,583.2932466,0.618692295
526.2268479,0.763875623,583.5853709,0.570063497
528.4661162,0.785201988,584.2196967,0.538855136
530.7059996,0.808578965,584.7324774,0.508720905
533.2877406,0.826419289,585.5694464,0.4768583
535.5270704,0.847950715,585.6609652,0.495655577
540.5158402,0.873788425,586.4066556,0.445796411
543.0105327,0.887732587,587.3967877,0.413289329
546.1418664,0.905449874,588.3433625,0.390992341
549.0246906,0.896345157,588.9744671,0.37630996
550.9129101,0.892570611,589.4387461,0.349446943
551.4255471,0.88376807,589.9493231,0.324235352
553.3149698,0.884004202,590.9996339,0.297390693
555.2037624,0.882140009,592.3971233,0.268485627
556.934217,0.886844639,593.4900377,0.256144098
558.9870296,0.897351821,593.9721981,0.24117463
560.7098295,0.914709527,595.2002481,0.231536754
561.9184913,0.935866043,,
563.5547734,0.951096497,,
565.1914134,0.967520035,,
567.0827339,0.974081993,,
568.366801,0.960324251,,
570.1941669,0.925463847,,
570.4992734,0.911929808,,
570.8819914,0.889919906,,
571.560398,0.8576818,,
572.1119914,0.826592802,,
572.6977755,0.797368952,,
573.2430585,0.76526373,,
573.7519951,0.733116444,,
574.479858,0.700045665,,
574.8235711,0.669465448,,
575.4155746,0.638952342,,
575.6855731,0.607283436,,
576.0379763,0.576176274,,
576.7005906,0.542477884,,
576.921421,0.56291565,,
577.1124232,0.512552619,,
577.7093034,0.482680796,,
578.0042056,0.450747174,,
578.740847,0.425251232,,
579.1064477,0.403436627,,
579.6153715,0.382256734,,
580.0390484,0.363186043,,
580.3773994,0.345960902,,
580.7141509,0.323404171,,
580.8287719,0.304702589,,
581.2188475,0.288133645,,
581.5737611,0.260056034,,
582.0986719,0.228106639,,
582.9957848,0.199683915,,
584.0191281,0.17564293,,
584.7876506,0.160995702,,
586.5759717,0.110492058,,
587.2594582,0.098657098,,
587.4442594,0.084876985,,
589.0543871,0.070179224,,
589.4796558,0.056414491,,
591.3657349,0.045505235,,
592.5081226,0.036591909,,
594.109069,0.029458265,,
595.2243633,0.025655311,,
