Wavelength,Efficiency,Wavelength,Efficiency
403.1405535,28.73919148,403.1405535,28.73919148
411.5721836,28.44622356,411.5721836,28.44622356
420.6981833,28.11640434,420.6981833,28.11640434
430.2209655,27.76754528,430.2209655,27.76754528
439.3469652,27.37937815,439.3469652,27.37937815
448.4729649,26.97155699,448.4729649,26.97155699
457.2021819,26.49003321,457.2021819,26.49003321
465.931399,25.95446085,465.931399,25.95446085
474.6606161,25.41397497,474.6606161,25.41397497
483.3898331,24.85383506,483.3898331,24.85383506
492.1190502,24.32317621,492.1190502,24.32317621
500.8482673,23.87113347,500.8482673,23.87113347
510.3710495,23.47313933,510.3710495,23.47313933
519.8938318,23.1439343,519.8938318,23.1439343
529.416614,22.84421031,529.416614,22.84421031
538.9393963,22.47078371,538.9393963,22.47078371
547.6686133,22.04330852,547.6686133,22.04330852
556.3978304,21.49299563,556.3978304,21.49299563
565.3033953,20.81493153,565.3033953,20.81493153
574.4117602,20.09166316,574.4117602,20.09166316
583.1145251,19.33596564,583.1145251,19.33596564
592.02009,18.59402594,592.02009,18.59402594
600.8374809,17.94360032,600.8374809,17.94360032
606.3924372,17.57692979,606.3924372,17.57692979
628.8106538,15.70488326,628.8106538,15.70488326
638.6905404,14.87351772,638.6905404,14.87351772
647.499114,14.16155042,647.499114,14.16155042
656.1225224,13.47415065,656.1225224,13.47415065
665.0280872,12.75186499,665.0280872,12.75186499
673.9336521,12.02957932,673.9336521,12.02957932
682.839217,11.31220716,682.839217,11.31220716
691.7447819,10.60466201,691.7447819,10.60466201
700.271199,9.964923278,700.271199,9.964923278
709.3795639,9.273101359,709.3795639,9.273101359
718.2851287,8.609777785,718.2851287,8.609777785
727.1906936,7.95136772,727.1906936,7.95136772
735.9199107,7.356833258,735.9199107,7.356833258
744.6491278,6.796693352,744.6491278,6.796693352
752.8052144,6.352020883,752.8052144,6.352020883
761.4021706,5.902434906,761.4021706,5.902434906
771.0572137,5.600254167,771.0572137,5.600254167
780.9767786,5.26859238,780.9767786,5.26859238
790.1027782,4.959041379,790.1027782,4.959041379
799.2287779,4.52665268,799.2287779,4.52665268
807.957995,4.005820837,807.957995,4.005820837
816.8635599,3.342497264,816.8635599,3.342497264
825.5927769,2.689000707,825.5927769,2.689000707
834.4983418,2.064985197,834.4983418,2.064985197
843.2275589,1.431142672,843.2275589,1.431142672
851.5048847,0.956989155,851.5048847,0.956989155
859.9365148,0.652965851,859.9365148,0.652965851
869.0625144,0.438614066,869.0625144,0.438614066
878.9820793,0.262710482,878.9820793,0.262710482
888.5048615,0.209644596,888.5048615,0.209644596
896.837296,0.138890081,896.837296,0.138890081
