wavelength,Pacific Blue ex,wavelength,Pacific Blue em
300,0.239,300,
301,0.2043,301,
302,0.1699,302,
303,0.1429,303,
304,0.1206,304,
305,0.1059,305,
306,0.0895,306,
307,0.0842,307,
308,0.0782,308,
309,0.0706,309,
310,0.0651,310,
311,0.0636,311,
312,0.0615,312,
313,0.0598,313,
314,0.0587,314,
315,0.0574,315,
316,0.0583,316,
317,0.058,317,
318,0.056,318,
319,0.0568,319,
320,0.0569,320,
321,0.0582,321,
322,0.0617,322,
323,0.0638,323,
324,0.0641,324,
325,0.0666,325,
326,0.0701,326,
327,0.07,327,
328,0.0755,328,
329,0.0776,329,
330,0.0806,330,
331,0.0848,331,
332,0.0841,332,
333,0.0878,333,
334,0.092,334,
335,0.0935,335,
336,0.0973,336,
337,0.1018,337,
338,0.1058,338,
339,0.1112,339,
340,0.1179,340,
341,0.1227,341,
342,0.1288,342,
343,0.1382,343,
344,0.1428,344,
345,0.1507,345,
346,0.1573,346,
347,0.1652,347,
348,0.172,348,
349,0.1839,349,
350,0.1893,350,
351,0.1998,351,
352,0.2123,352,
353,0.2212,353,
354,0.2327,354,
355,0.245,355,
356,0.2567,356,
357,0.2665,357,
358,0.2796,358,
359,0.2929,359,
360,0.3058,360,
361,0.3206,361,
362,0.332,362,
363,0.3472,363,
364,0.362,364,
365,0.3772,365,
366,0.3946,366,
367,0.4102,367,
368,0.4277,368,
369,0.4449,369,
370,0.4641,370,
371,0.483,371,
372,0.5034,372,
373,0.5235,373,
374,0.5412,374,
375,0.5618,375,
376,0.5843,376,
377,0.6037,377,
378,0.623,378,
379,0.6497,379,
380,0.6652,380,
381,0.6874,381,
382,0.7131,382,
383,0.7323,383,
384,0.7577,384,
385,0.7755,385,
386,0.7938,386,
387,0.8145,387,
388,0.833,388,
389,0.8521,389,
390,0.8694,390,
391,0.886,391,
392,0.9006,392,
393,0.9157,393,
394,0.9281,394,
395,0.9408,395,
396,0.9526,396,
397,0.9637,397,
398,0.9735,398,
399,0.9814,399,
400,0.9875,400,
401,0.9942,401,
402,0.9974,402,
403,0.9991,403,
404,1,404,
405,0.9987,405,
406,0.9951,406,
407,0.9898,407,
408,0.9825,408,
409,0.9711,409,
410,0.9583,410,0.0239
411,0.9432,411,0.017
412,0.9232,412,0.0118
