Wavelength,eFluor506 EX,Wavelength,eFluor506 EM
293.3122534,0.139428552,391.7614266,0.011450382
297.5658111,0.136457429,400.8900573,0.011450382
302.7876126,0.132568753,413.3350226,0.007633588
307.9664101,0.122650445,423.2871939,0
312.3289335,0.120153703,434.0819106,0.007633588
317.0790424,0.113712108,442.3920286,0.008031822
322.5433646,0.104424227,447.4143851,0.015658234
327.7795302,0.094949091,452.4372953,0.023951958
334.0248354,0.110940724,457.2378134,0.039004589
338.750785,0.127718831,461.1331912,0.062329154
344.7055047,0.15987687,463.8896194,0.086927058
347.9173925,0.183820628,466.4184317,0.111989356
350.6729878,0.207414841,469.2886803,0.136370043
353.4294533,0.232057686,469.5154197,0.162323678
356.1854837,0.256176215,472.189242,0.197278068
358.4876872,0.282916324,473.3092474,0.228125317
360.3323652,0.307821327,474.3360797,0.256595668
362.4059147,0.333774961,475.6813451,0.284139727
364.4798994,0.360252912,477.0744443,0.314375275
366.324795,0.385420073,478.5690709,0.349204828
368.1683853,0.409014286,479.455491,0.381173114
370.0150214,0.436278711,480.5748147,0.411198936
371.6341638,0.464154837,481.281372,0.438375974
373.2520735,0.490545401,482.6704827,0.463805293
375.2354581,0.517746908,483.4816762,0.534351145
376.7154589,0.542802215,483.6072893,0.493691296
378.2238496,0.574593232,485.7219574,0.569192779
379.4964359,0.596981519,486.3985642,0.599528196
381.112025,0.620575733,487.3272777,0.63536144
382.8472711,0.650986052,488.3095976,0.66514258
384.1225987,0.676677529,489.2953984,0.699118247
385.7388404,0.701058216,489.9571822,0.727291486
387.5850414,0.727798324,490.7416109,0.756723082
389.4316775,0.755062749,491.6512953,0.790558932
391.0493695,0.781191155,492.9594307,0.828309673
392.2112767,0.80758172,493.8961503,0.858090814
393.8291863,0.833972285,495.1061234,0.887452501
395.6761125,0.861586253,496.5605327,0.913069076
397.2931519,0.886928186,498.0690953,0.941142445
399.1391353,0.913406136,499.7367616,0.972541474
401.4402509,0.938835455,502.6691243,0.997800822
403.7404964,0.963216142,507.5208785,1.011191043
406.7241364,0.986862787,511.1492312,0.987491966
410.2204747,1.010142411,513.6392021,0.965750335
415.7706807,1.020395699,514.7549578,0.936528465
419.0532605,1.007415969,516.8022382,0.905851221
421.0905648,0.989694093,519.2567062,0.866305095
422.8980404,0.96977009,521.2908051,0.84472076
424.2512539,0.951943351,522.2267155,0.818578371
426.5097281,0.925989717,523.6864655,0.78783249
428.0847787,0.90073517,524.9138929,0.75972916
429.4276075,0.870394759,526.2150955,0.734177501
430.7758317,0.846555865,527.7864476,0.704466269
432.3499975,0.820235209,529.1332794,0.678949564
433.4692052,0.795172911,530.4818517,0.655530123
434.8116859,0.764413048,532.5086262,0.625119803
436.159678,0.740294519,534.7650699,0.596719361
437.5032222,0.710816317,536.107478,0.565872112
438.3933747,0.684484009,537.9084268,0.538083372
439.5106292,0.657068116,539.8465825,0.510783993
440.4030104,0.633421471,541.2199357,0.485826559
442.2043943,0.606157047,543.3155519,0.459872924
443.3228623,0.580203412,545.3439736,0.431447514
444.6673735,0.551890356,547.4214454,0.407179181
446.2409012,0.524800704,549.6354071,0.382536336
447.5864277,0.497711051,551.5489424,0.353043569
448.0229949,0.47429161,554.1512678,0.329318277
450.0486091,0.442483115,555.7277688,0.305811449
451.8520236,0.417665498,558.4434783,0.281343376
453.1988554,0.392148793,560.4772147,0.25932211
454.0885244,0.365233913,562.9658347,0.235952604
456.3493918,0.342164015,566.138707,0.212882706
457.2387707,0.314899591,569.3131955,0.191760268
458.5844422,0.28798471,573.1686171,0.166937657
461.0728031,0.264303111,577.2542342,0.144759097
462.6458232,0.236601757,581.1110378,0.121601813
464.2200036,0.210298578,585.6548184,0.102027355
466.2509117,0.184869259,590.6558146,0.083914625
469.5152746,0.162148906,595.6595797,0.069138451
469.8571605,0.134534937,600.6647689,0.05607822
473.7133114,0.11059118,605.6734389,0.047212516
477.2424616,0.085099443,610.6825046,0.038823462
481.8776997,0.057984823,615.692836,0.031959691
486.3029472,0.032948741,620.7041168,0.026239881
492.3621519,0.014391705,625.7151602,0.020234082
498.0207736,0.003741965,630.727865,0.016230215
503.0287016,-0.006018027,635.7415983,0.013465641
508.0412405,-0.010221784,640.755648,0.011082387
513.0582551,-0.009032276,645.7689857,0.007841162
517.9230729,-0.008078974,650.7836683,0.006220549
522.8211547,-0.003674721,655.7979553,0.004123285
526.0594687,-0.002835816,660.813429,0.003455974
538.3715362,-0.002835816,665.8282699,0.002026022
544.52757,-0.002835816,670.8423987,-0.000261902
549.3138558,-0.004933079,675.8570022,-0.001977844
562.3114189,-0.003135425,680.871843,-0.003407797
567.0979533,-0.004933079,685.8867629,-0.004742419
585.9427956,0,689.9906272,-0.004933079
615.8119793,-0.007633588,702.1253682,0
637.3950778,0,732.0072218,0.007633588
658.0756736,0.001358711,778.4802509,0.007633588
662.8635258,0.001148985,819.9676919,0
678.8888537,0,,
722.0423807,0,,
