nm,AB,nm,EM
304.3730456,0.04152612,499.0548458,0.007511286
311.0921141,0.010904295,514.0764576,0.007635227
320.7213524,0.018969974,524.1764587,0.00771856
328.767116,0.008641583,532.5645951,0.011314156
337.6688118,0.013647362,541.0383248,0.038350561
346.0569483,0.0092913,548.7417155,0.10089472
354.6162713,0.008808763,549.8972241,0.151682912
363.3788781,0.00781796,552.2082413,0.202471582
371.5637307,0.007703986,553.3637499,0.262491927
380.4654265,0.006532826,554.904428,0.317723713
388.5111901,0.00659921,555.6747671,0.371922342
398.5255979,0.007096706,557.2154452,0.468340254
406.400175,0.006746809,558.4993436,0.541177656
415.4730573,0.006821667,560.7369952,0.611322821
423.6900074,0.007650057,563.2003872,0.710711735
432.4205168,0.008828409,563.7633273,0.782075634
440.8942465,0.010739306,563.9773103,0.863207351
449.3679762,0.01311693,564.902507,0.916379382
458.0984856,0.024920539,567.1309192,0.979104039
464.0044184,0.036200696,569.3593315,1.015426055
475.1743348,0.075767649,569.5408702,0.977392956
486.7294208,0.13359202,570.1186245,0.953838346
497.5141677,0.191467079,573.816156,0.939555237
505.2175584,0.269206229,575.7035827,0.88815015
509.0692537,0.329324879,578.0145999,0.821997601
513.6490251,0.414306333,579.9404476,0.769152256
522.1650178,0.500566423,581.4811257,0.708697801
534.8756123,0.502301139,583.0218039,0.664215805
540.6531553,0.579440372,584.9476515,0.607187197
542.9641725,0.637644827,586.4883297,0.564986981
547.3936221,0.76641179,588.2857875,0.502814254
549.5120546,0.830889551,593.4213812,0.426963903
551.0527327,0.899862722,599.5840937,0.37114374
555.6747671,0.991425585,608.0578235,0.345906642
557.4722249,0.929832358,616.1463836,0.314349984
561.0671405,0.91388956,623.0794352,0.264664385
561.4523101,0.85342557,629.2421477,0.210979316
562.6078187,0.802095057,635.7900298,0.158983407
563.4481885,0.71276685,643.4934204,0.111452264
567.3399015,0.593514223,651.9671501,0.081789896
567.7434124,0.507661057,660.4408798,0.065679917
570.4395991,0.409228725,668.9146095,0.052474022
572.8533282,0.211242058,677.3883393,0.041964776
572.8790062,0.29392842,685.862069,0.027721708
575.3184132,0.154174437,694.3357987,0.016866738
578.0145999,0.095959437,702.8095284,0.018042971
588.0290078,0.027536808,728.2307175,0.011891391
596.5027375,0.010182222,735.1637691,0.010763254
604.9764672,0.010459572,745.1781769,0.009542007
613.4501969,0.009492315,753.6519066,0.009611922
621.9239266,0.010184534,762.1256363,0.009681837
628.8569782,0.009234198,770.5993661,0.009751752
,,779.0730958,0.009821668
,,787.1616559,0.009888405
