Wavelength,Excitation,Wavelength,Emission
300,0,300,0
301,18.59252707,301,0
302,18.09397448,302,0
303,17.4841857,303,0
304,16.64790393,304,0
305,15.67090168,305,0
306,14.68585826,306,0
307,13.7664844,307,0
308,12.92216147,308,0
309,12.20917766,309,0
310,11.62351238,310,0
311,11.15444409,311,0
312,10.7094993,312,0
313,10.48300633,313,0
314,10.19888496,314,0
315,9.968371395,315,0
316,9.87053715,316,0
317,9.701672564,317,0
318,9.535488367,318,0
319,9.373324756,319,0
320,9.195078803,320,0
321,9.022193631,321,0
322,8.822504557,322,0
323,8.555805725,323,0
324,8.326632358,324,0
325,8.085397234,325,0
326,7.806636646,326,0
327,7.664575962,327,0
328,7.397877131,328,0
329,7.113755763,329,0
330,6.861799078,330,0
331,6.646027662,331,0
332,6.427575855,332,0
333,6.201082878,333,0
334,5.992012437,334,0
335,5.778921411,335,0
336,5.571191165,336,0
337,5.328615846,337,0
338,5.15975126,338,0
339,4.981505307,339,0
340,4.816661306,340,0
341,4.716146671,341,0
342,4.60893106,342,0
343,4.482952718,343,0
344,4.351613595,344,0
345,4.35563418,345,0
346,4.268521497,346,0
347,4.25109896,347,0
348,4.24841857,348,0
349,4.221614667,349,0
350,4.252439155,350,0
351,4.284603838,351,0
352,4.267181302,352,0
353,4.285944033,353,0
354,4.326149887,354,0
355,4.336871448,355,0
356,4.335531253,356,0
357,4.331510668,357,0
358,4.356974375,358,0
359,4.393159644,359,0
360,4.421303742,360,0
361,4.45212823,361,0
362,4.535220328,362,0
363,4.663879061,363,0
364,4.801919159,364,0
365,4.937278868,365,0
366,5.118205211,366,0
367,5.304492334,367,0
368,5.500160823,368,0
369,5.644901898,369,0
370,5.816446875,370,0
371,5.96922912,371,0
372,6.032218291,372,0
373,6.060362389,373,0
374,5.975930095,374,0
375,5.862013509,375,0
376,5.660984239,376,0
377,5.485418677,377,0
378,5.185214967,378,0
379,4.882330867,379,0
380,4.543261499,380,0
381,4.168006862,381,0
382,3.889246274,382,0
383,3.567599442,383,0
384,3.180283049,384,0
385,2.918944998,385,0
386,2.695132411,386,0
387,2.490082556,387,0
388,2.32925914,388,0
389,2.22472392,389,0
390,2.12286909,390,0
391,2.047818162,391,0
392,2.007612308,392,0
393,1.97410743,393,0
394,1.960705479,394,0
395,1.941942747,395,0
396,1.933901576,396,0
397,1.955344698,397,0
398,1.963385869,398,0
399,1.97142704,399,0
400,1.984828991,400,0
401,2.015653479,401,0
402,2.038436796,402,0
403,2.067921089,403,0
404,2.085343626,404,0
405,2.106786748,405,0
406,2.157714163,406,0
407,2.201940603,407,0
408,2.22204353,408,0
409,2.2300847,409,0
410,2.266269969,410,0
411,2.305135628,411,0
412,2.342661091,412,0
413,2.372145384,413,0
414,2.432454165,414,0
415,2.474000214,415,0
416,2.511525678,416,0
417,2.539669776,417,0
418,2.589256996,418,0
419,2.660287338,419,0
420,2.689771631,420,0
421,2.739358851,421,0
422,2.764822558,422,0
423,2.818430363,423,0
424,2.873378364,424,0
425,2.93770773,425,0
426,2.947089096,426,0
427,2.945748901,427,0
428,2.961831243,428,0
429,2.980593974,429,0
430,2.98729495,430,0
431,2.972552804,431,0
432,2.943068511,432,0
433,2.960491047,433,0
