wavelength,mCherry ex,wavelength,mCherry em,wavelength,mCherry 2p
300,0.132,300,,300,
301,0.1175,301,,301,
302,0.1063,302,,302,
303,0.1037,303,,303,
304,0.1302,304,,304,
305,0.1633,305,,305,
306,0.1609,306,,306,
307,0.1095,307,,307,
308,0.0673,308,,308,
309,0.0573,309,,309,
310,0.055,310,,310,
311,0.0545,311,,311,
312,0.0542,312,,312,
313,0.0546,313,,313,
314,0.0545,314,,314,
315,0.0561,315,,315,
316,0.0584,316,,316,
317,0.0604,317,,317,
318,0.0629,318,,318,
319,0.0662,319,,319,
320,0.0709,320,,320,
321,0.0754,321,,321,
322,0.0812,322,,322,
323,0.0865,323,,323,
324,0.0916,324,,324,
325,0.0982,325,,325,
326,0.1039,326,,326,
327,0.1084,327,,327,
328,0.115,328,,328,
329,0.1193,329,,329,
330,0.1241,330,,330,
331,0.1286,331,,331,
332,0.1336,332,,332,
333,0.1385,333,,333,
334,0.1438,334,,334,
335,0.1512,335,,335,
336,0.1593,336,,336,
337,0.1694,337,,337,
338,0.1784,338,,338,
339,0.1912,339,,339,
340,0.2001,340,,340,
341,0.2125,341,,341,
342,0.2203,342,,342,
343,0.2265,343,,343,
344,0.2284,344,,344,
345,0.2248,345,,345,
346,0.2165,346,,346,
347,0.2068,347,,347,
348,0.1936,348,,348,
349,0.1813,349,,349,
350,0.1695,350,,350,
351,0.1576,351,,351,
352,0.1503,352,,352,
353,0.1413,353,,353,
354,0.136,354,,354,
355,0.1317,355,,355,
356,0.1287,356,,356,
357,0.1265,357,,357,
358,0.125,358,,358,
359,0.1236,359,,359,
360,0.1234,360,,360,
361,0.1226,361,,361,
362,0.1223,362,,362,
363,0.122,363,,363,
364,0.1214,364,,364,
365,0.1199,365,,365,
366,0.12,366,,366,
367,0.1186,367,,367,
368,0.1179,368,,368,
369,0.1156,369,,369,
370,0.1148,370,,370,
371,0.1141,371,,371,
372,0.1121,372,,372,
373,0.1109,373,,373,
374,0.1087,374,,374,
375,0.1052,375,,375,
376,0.1029,376,,376,
377,0.1004,377,,377,
378,0.0975,378,,378,
379,0.0941,379,,379,
380,0.0904,380,,380,
381,0.0868,381,,381,
382,0.0824,382,,382,
383,0.0789,383,,383,
384,0.076,384,,384,
385,0.0714,385,,385,
386,0.0672,386,,386,
387,0.0644,387,,387,
388,0.0604,388,,388,
389,0.0571,389,,389,
390,0.0551,390,,390,
391,0.0525,391,,391,
392,0.0498,392,,392,
393,0.0464,393,,393,
394,0.0449,394,,394,
395,0.0424,395,,395,
396,0.0403,396,,396,
397,0.0386,397,,397,
398,0.036,398,,398,
399,0.0334,399,,399,
400,0.0313,400,,400,
401,0.029,401,,401,
402,0.0267,402,,402,
403,0.0245,403,,403,
404,0.0216,404,,404,
405,0.0198,405,,405,
406,0.0174,406,,406,
407,0.0156,407,,407,
408,0.0132,408,,408,
409,0.0119,409,,409,
410,0.01,410,,410,
411,0.0086,411,,411,
412,0.0074,412,,412,
413,0.0065,413,,413,
414,0.0057,414,,414,
415,0.0049,415,,415,
416,0.0043,416,,416,
417,0.0037,417,,417,
418,0.0035,418,,418,
419,0.0032,419,,419,
420,0.003,420,,420,
421,0.0028,421,,421,
422,0.0028,422,,422,
423,0.0028,423,,423,
424,0.0029,424,,424,
425,0.0029,425,,425,
426,0.003,426,,426,
427,0.0032,427,,427,
428,0.0032,428,,428,
429,0.0033,429,,429,
430,0.0037,430,,430,
431,0.0039,431,,431,
432,0.0038,432,,432,
433,0.0042,433,,433,
434,0.0046,434,,434,
435,0.0049,435,,435,
436,0.0051,436,,436,
437,0.0053,437,,437,
438,0.0058,438,,438,
439,0.006,439,,439,
440,0.0064,440,,440,
441,0.0067,441,,441,
442,0.0071,442,,442,
443,0.0075,443,,443,
444,0.008,444,,444,
445,0.0085,445,,445,
446,0.0089,446,,446,
447,0.0097,447,,447,
448,0.0101,448,,448,
449,0.0109,449,,449,
450,0.0115,450,,450,
451,0.0122,451,,451,
452,0.013,452,,452,
453,0.0139,453,,453,
454,0.0147,454,,454,
455,0.0157,455,,455,
456,0.0163,456,,456,
457,0.0175,457,,457,
458,0.0182,458,,458,
459,0.0198,459,,459,
460,0.0206,460,,460,
461,0.0222,461,,461,
462,0.0231,462,,462,
463,0.0246,463,,463,
464,0.0254,464,,464,
465,0.0275,465,,465,
466,0.0289,466,,466,
467,0.0299,467,,467,
468,0.031,468,,468,
469,0.0328,469,,469,
470,0.0341,470,,470,
471,0.0356,471,,471,
472,0.0377,472,,472,
473,0.0389,473,,473,
474,0.0405,474,,474,
475,0.0424,475,,475,
476,0.0444,476,,476,
